rank_within_available_evaluations,mode,source,repair_cost_usd,budget_remaining_usd,repaired_station_count,repaired_stations,repaired_road_component_count,served_total,served_ev,served_non_ev,finite_system_time_min,physical_in_vehicle_time_min,physical_wait_vehicle_min,physical_service_vehicle_min,unstable_station_entries
1,screen,requested operational station guess C3+C7 [repairs=C7] / roads=ratio,1499857.52,142.47999999998137,1,C7,115,1078515.3612064177,19712.551206417524,1058802.81,937295103.4622781,36141341.26033531,901070072.7249982,83689.47694456324,901.0700727249983
2,screen,swap road 12135->10594 -> 12323->8442,1496774.1600000001,3225.839999999851,1,C7,115,1078515.3612064177,19712.551206417524,1058802.81,937299824.500407,36146051.20828162,901070072.7249999,83700.56712548836,901.070072725
3,screen,swap road 10600->6968 -> 6286->10585,1495893.2,4106.800000000047,1,C7,115,1078515.3612064177,19712.551206417524,1058802.81,937303991.496152,36150224.720483266,901070072.7249997,83694.05066908576,901.0700727249997
4,final,requested operational station guess C3+C7 [repairs=C7] / roads=ratio,1499857.52,142.47999999998137,1,C7,115,1078515.3612064177,19712.551206417556,1058802.81,937339151.7605995,36185612.936821714,901070072.7249993,83466.09877846946,901.0700727249994
5,final,swap road 10600->6968 -> 6286->10585,1495893.2,4106.800000000047,1,C7,115,1078515.3612064177,19712.551206417556,1058802.81,937339663.8262892,36186130.53475153,901070072.7249991,83460.5665385752,901.0700727249992
6,final,swap road 12135->10594 -> 12323->8442,1496774.1600000001,3225.839999999851,1,C7,115,1078515.3612064177,19712.551206417556,1058802.81,937339911.1997879,36186364.52170378,901070072.7249998,83473.95308432632,901.0700727249997
7,polish,requested operational station guess C3+C7 [repairs=C7] / roads=ratio / polished,1499857.52,142.47999999998137,1,C7,115,1078515.3612064177,19712.551206417593,1058802.81,937343527.3452952,36190052.57822421,901070072.7249992,83402.04207180976,901.0700727249994
8,screen,add station C2 with budget repair,1496712.56,3287.439999999944,2,C2;C7,78,1078515.3612064177,19712.551206417524,1058802.81,937401624.2796686,36246310.64131786,901070072.7249999,85240.91335086212,901.0700727249998
9,screen,feasible parsimonious station subset [repairs=C2+C7] / roads=ratio,1499575.68,424.3200000000652,2,C2;C7,81,1078515.3612064177,19712.551206417524,1058802.81,937407255.0916812,36251940.9735846,901070072.7249991,85241.39309756628,901.0700727249991
10,screen,requested operational station guess C1+C7 [repairs=C1+C7] / roads=ratio,1499985.3599999999,14.640000000130385,2,C1;C7,57,1078515.3612064177,19712.551206417524,1058802.81,937446502.2120917,36291649.643043414,901070072.7250004,84779.84404790186,901.0700727250004
11,screen,add station C1 with budget repair,1497122.24,2877.7600000000093,2,C1;C7,56,1078515.3612064177,19712.551206417524,1058802.81,937455161.1857113,36300325.917180926,901070072.724999,84762.5435313394,901.070072724999
12,screen,individual station repair seed C5 [repairs=C5] / roads=ratio,1499964.56,35.43999999994412,1,C5,113,1078508.9571463251,19706.14714632503,1058802.81,677610069.9140791,36149636.59761897,641390538.6287502,69894.68770993872,641.3875751385876
13,screen,feasible parsimonious station subset [repairs=C1+C5] / roads=ratio,1499872.16,127.84000000008382,2,C1;C5,57,1078508.9571463251,19706.14714632503,1058802.81,854059256.0699259,36312045.569127,817678262.0778856,68948.42291329372,817.6731178138804
14,screen,individual station repair seed C2 [repairs=C2] / randomized road fill 3,1499993.04,6.959999999962747,1,C2,191,1078500.835873275,19698.02587327503,1058802.81,922542285.9706625,35913989.44246739,886544739.5825003,83556.94569475699,886.5447395825005
15,screen,individual station repair seed C1 [repairs=C1] / roads=ratio,1499742.0,258.0,1,C1,166,1078500.835873275,19698.02587327503,1058802.81,922610885.9269689,35982927.540006846,886544739.5824976,83218.80446454472,886.5447395824976
16,screen,flood baseline C3-C8-C9,0.0,1500000.0,0,,0,1078500.835873275,19698.02587327503,1058802.81,923120315.714879,36493535.66415069,886544739.5825002,82040.46822807333,886.5447395825001
