link_id,from_node,to_node,type,length_miles,capacity_dry_vehph,capacity_flood_vehph,t0_dry_min,t0_flood_min,is_closed,station_id,source_init_node_label,source_term_node_label,source_edge_type,source_flood_depth_mm,source_flood_affected,source_retain_in_flood_network,source_capacity,source_capacity_raw_vehph,inferred_lanes,capacity_per_lane_vehph,modeled_capacity_dry_vehph,source_length_miles,source_free_flow_time_file_min,source_free_flow_time_min,computed_free_flow_time_min,source_speed_mph,nominal_speed_kmh,flood_safe_speed_kmh,operational_speed_flood_kmh,flood_capacity_retention_ratio,computed_flood_free_flow_time_min,road_component_id,source_original_init_node,source_original_term_node,source_link_type,repair_candidate_flooded_road,fortified_road,fortified_station,active_in_plan,active_in_scenario,total_flow_veh_per_period,ev_flow_veh_per_period,non_ev_flow_veh_per_period,travel_time_min,total_vehicle_min,ev_vehicle_min,non_ev_vehicle_min
CRL000001,1,10293,road,0.45,9500.0,5357.999999999999,1.08,1.3908025580457453,0,,1,10293,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.45,0.0,1.08,1.08,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.3908025580457453,1->10293,1,10293,3.0,1,0,0,1,1,1330.7800000000002,0.0,1330.7800000000002,1.3908123593968138,1850.865271638092,0.0,1850.865271638092
CRL000002,2,10294,road,0.5,9500.0,5357.999999999999,1.2,1.5453361756063835,0,,2,10294,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.5,0.0,1.2,1.2,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.5453361756063835,2->10294,2,10294,3.0,1,0,0,1,1,1218.73,0.0,1218.73,1.5453438359523015,1883.3568931901484,0.0,1883.3568931901484
CRL000003,3,10295,road,0.39,9500.0,5357.999999999999,0.936,1.2053622169729792,0,,3,10295,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.39,0.0,0.936,0.936,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.2053622169729792,3->10295,3,10295,3.0,1,0,0,1,1,148.72000000000003,0.0,148.72000000000003,1.2053622182979016,179.26146910526396,0.0,179.26146910526396
CRL000004,4,10296,road,0.58,9500.0,5357.999999999999,1.392,1.7925899637034048,0,,4,10296,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.58,0.0,1.392,1.392,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.7925899637034048,4->10296,4,10296,3.0,1,0,0,1,1,1198.6498085900002,31.379808590000003,1167.2700000000002,1.7925982783854264,2148.6975832654553,56.25139085449822,2092.446192410957
CRL000005,5,10297,road,0.5,9500.0,5357.999999999999,1.2,1.5453361756063835,0,,5,10297,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.5,0.0,1.2,1.2,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.5453361756063835,5->10297,5,10297,3.0,1,0,0,1,1,334.89,0.0,334.89,1.545336219280798,517.5176464749464,0.0,517.5176464749464
CRL000006,6,10298,road,0.58,9500.0,5357.999999999999,1.392,1.7925899637034048,0,,6,10298,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.58,0.0,1.392,1.392,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.7925899637034048,6->10298,6,10298,3.0,1,0,0,1,1,694.3100000000002,0.0,694.3100000000002,1.7925908997340017,1244.613787594315,0.0,1244.613787594315
CRL000007,7,10299,road,0.45,9500.0,5357.999999999999,1.08,1.3908025580457453,0,,7,10299,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.45,0.0,1.08,1.08,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.3908025580457453,7->10299,7,10299,3.0,1,0,0,1,1,536.6700000000001,0.0,536.6700000000001,1.3908028172786695,746.4021479489437,0.0,746.4021479489437
CRL000008,8,10300,road,0.5,9500.0,5357.999999999999,1.2,1.5453361756063835,0,,8,10300,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.5,0.0,1.2,1.2,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.5453361756063835,8->10300,8,10300,3.0,1,0,0,1,1,151.16000000000003,0.0,151.16000000000003,1.5453361774192504,233.59301657869395,0.0,233.59301657869395
CRL000009,9,10301,road,0.44,9500.0,5357.999999999999,1.056,1.3598958345336174,0,,9,10301,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.44,0.0,1.056,1.056,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.3598958345336174,9->10301,9,10301,3.0,1,0,0,1,1,647.5200000000002,0.0,647.5200000000002,1.3598963717061465,880.5600986071643,0.0,880.5600986071643
CRL000010,10,10302,road,0.5,9500.0,5357.999999999999,1.2,1.5453361756063835,0,,10,10302,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.5,0.0,1.2,1.2,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.5453361756063835,10->10302,10,10302,3.0,1,0,0,1,1,197.23000000000002,0.0,197.23000000000002,1.5453361808606279,304.78665495114166,0.0,304.78665495114166
CRL000011,11,10303,road,0.45,9500.0,5357.999999999999,1.08,1.3908025580457453,0,,11,10303,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.45,0.0,1.08,1.08,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.3908025580457453,11->10303,11,10303,3.0,1,0,0,1,1,183.34000000000006,0.0,183.34000000000006,1.3908025615766808,254.98974163946875,0.0,254.98974163946875
CRL000012,12,10304,road,0.5,9500.0,6051.5,1.2,1.2,0,,12,10304,road_original,88.9,1,1,100000.0,100000.0,5,1900.0,9500.0,0.5,0.0,1.2,1.2,25.0,40.2336,44.90487900000001,40.2336,0.637,1.2,12->10304,12,10304,3.0,1,0,0,1,1,205.06857627000002,6.93857627,198.13000000000002,1.200000002930433,246.08229212493976,8.326291544333033,237.75600058060672
CRL000013,13,10305,road,0.44,9500.0,6051.5,1.056,1.0559999999999998,0,,13,10305,road_original,88.9,1,1,100000.0,100000.0,5,1900.0,9500.0,0.44,0.0,1.056,1.056,25.0,40.2336,44.90487900000001,40.2336,0.637,1.0559999999999998,13->10305,13,10305,3.0,1,0,0,1,1,99.32,0.0,99.32,1.056000000141894,104.88192001409291,0.0,104.88192001409291
CRL000014,14,10306,road,0.5,9500.0,6051.5,1.2,1.2,0,,14,10306,road_original,88.9,1,1,100000.0,100000.0,5,1900.0,9500.0,0.5,0.0,1.2,1.2,25.0,40.2336,44.90487900000001,40.2336,0.637,1.2,14->10306,14,10306,3.0,1,0,0,1,1,398.85,0.0,398.85,1.2000000419347174,478.6200167256621,0.0,478.6200167256621
CRL000015,15,10307,road,0.44,9500.0,6051.5,1.056,1.0559999999999998,0,,15,10307,road_original,88.9,1,1,100000.0,100000.0,5,1900.0,9500.0,0.44,0.0,1.056,1.056,25.0,40.2336,44.90487900000001,40.2336,0.637,1.0559999999999998,15->10307,15,10307,3.0,1,0,0,1,1,103.84,0.0,103.84,1.0560000001695415,109.6550400176052,0.0,109.6550400176052
CRL000016,16,10308,road,0.51,9500.0,6051.5,1.224,1.2240000000000002,0,,16,10308,road_original,88.9,1,1,100000.0,100000.0,5,1900.0,9500.0,0.51,0.0,1.224,1.224,25.0,40.2336,44.90487900000001,40.2336,0.637,1.2240000000000002,16->10308,16,10308,3.0,1,0,0,1,1,184.96,0.0,184.96,1.2240000019780934,226.39104036586818,0.0,226.39104036586818
CRL000017,17,10309,road,0.44,9500.0,6051.5,1.056,1.0559999999999998,0,,17,10309,road_original,88.9,1,1,100000.0,100000.0,5,1900.0,9500.0,0.44,0.0,1.056,1.056,25.0,40.2336,44.90487900000001,40.2336,0.637,1.0559999999999998,17->10309,17,10309,3.0,1,0,0,1,1,0.030000000000000002,0.0,0.030000000000000002,1.0559999999999998,0.03168,0.0,0.03168
