road_component_id,source_init_node,source_term_node,edge_count,edge_indices,length_miles,lanes,lane_miles,max_flood_depth_mm,minimum_capacity_retention_ratio,contains_closed_edge,repair_cost_usd,baseline_component_flow_veh_per_period,same_flow_vehicle_min_saving,capacity_loss_proxy_vehicle_min,closed_link_proxy_vehicle_min,impact_score,impact_per_dollar
12593->12594,12593,12594,1,"(26685,)",0.32,1,0.32,127.0,0.564,False,7047.68,6601.284617516027,19468.942478627036,1535.0187163930602,0.0,19591.74397593848,2.779885575953857
12400->10827,12400,10827,1,"(26028,)",0.08,1,0.08,63.5,0.637,False,1761.92,8189.67717832745,3984.084561630189,445.9279223599297,0.0,4019.7587954189835,2.281464990135184
12594->12593,12594,12593,1,"(26689,)",0.32,1,0.32,127.0,0.564,False,7047.68,5796.804648060451,11236.648865366848,1347.9503074956572,0.0,11344.4848899665,1.6096765020498234
10827->12400,10827,12400,1,"(21279,)",0.08,1,0.08,63.5,0.637,False,1761.92,7545.481650841213,2645.0230995281995,410.8514758883041,0.0,2677.8912175992637,1.5198710597525789
8648->4434,8648,4434,1,"(15800,)",0.31,1,0.31,127.0,0.564,False,6827.44,5656.897271903671,8393.139105247546,1835.0069646492007,0.0,8539.939662419483,1.2508260288511484
10627->7587,10627,7587,1,"(20369,)",0.1,1,0.1,127.0,0.564,False,2202.4,5578.3585833698635,2708.79930505398,521.1780733605559,0.0,2750.4935509228244,1.2488619464778534
1954->1952,1954,1952,1,"(1952,)",0.3,1,0.3,127.0,0.564,False,6607.2,5138.619146488474,7266.894632429574,858.0400651413096,0.0,7335.537837640879,1.1102339625924567
8756->10347,8756,10347,1,"(15938,)",0.06,1,0.06,127.0,0.564,False,1321.44,5310.014329615915,1350.4537997526481,287.39994799190134,0.0,1373.4457955920002,1.0393553968337572
6282->4428,6282,4428,1,"(11036,)",0.03,1,0.03,127.0,0.564,False,660.72,5372.693519040712,648.4424743538485,168.65959494972603,0.0,661.9352419498266,1.0018392692060578
2815->2817,2815,2817,1,"(4247,)",0.04,1,0.04,127.0,0.564,False,880.96,5168.129349112286,852.1275894682702,168.9978297159718,0.0,865.6474158455479,0.982618298044801
5930->5921,5930,5921,1,"(10507,)",0.31,1,0.31,127.0,0.564,False,6827.44,5230.03952081175,6565.065255160173,1462.535465447413,0.0,6682.068092395966,0.9787076989905391
12641->1909,12641,1909,1,"(26850,)",1.16,1,1.16,127.0,0.564,False,25547.839999999997,4934.595013398175,24147.583006623994,3327.627698635015,0.0,24413.793222514796,0.9556108548712846
4434->8648,4434,8648,1,"(6781,)",0.31,1,0.31,127.0,0.564,False,6827.44,5201.089351804946,5832.298225551748,1687.150168295896,0.0,5967.27023901542,0.8740128421509995
6285->4428,6285,4428,1,"(11040,)",0.45,1,0.45,127.0,0.564,False,9910.800000000001,4995.937336393985,8438.795605350702,1837.8804476259372,0.0,8585.826041160777,0.8663100901199475
2425->6379,2425,6379,1,"(3220,)",0.25,1,0.25,127.0,0.564,False,5506.0,4990.183214213074,4668.258382858862,1019.8686944047972,0.0,4749.847878411246,0.8626676132239821
9001->9000,9001,9000,1,"(16602,)",0.12,1,0.12,127.0,0.564,False,2642.88,5109.8437887158325,2095.40068837427,641.6328648614697,0.0,2146.7313175631875,0.8122696897184841
4428->6282,4428,6282,1,"(6760,)",0.03,1,0.03,127.0,0.564,False,660.72,5092.466474437558,516.4311667195177,159.86270756554381,0.0,529.2201833247613,0.8009749717350182
6386->2426,6386,2426,1,"(11285,)",0.39,1,0.39,152.4,0.509,False,8589.36,4045.9561890270443,6735.683821475922,1602.9520358002526,0.0,6863.919984339942,0.7991189080839483
10585->6305,10585,6305,1,"(20172,)",0.06,1,0.06,127.0,0.564,False,1321.44,4915.5917325234095,974.519659024589,275.5540279774551,0.0,996.5639812627854,0.754150003982614
5292->10550,5292,10550,1,"(9408,)",0.26,1,0.26,127.0,0.564,False,5726.24,4806.086099530202,4235.189281760559,1021.5336004551447,0.0,4316.911969796971,0.7538824725818287
10577->6145,10577,6145,1,"(20129,)",0.56,1,0.56,127.0,0.564,False,12333.44,4993.638912006477,8885.874205740123,2926.192504213204,0.0,9119.96960607718,0.7394505998389078
8081->2863,8081,2863,1,"(15034,)",0.16,1,0.16,127.0,0.564,False,3523.84,4817.444468979549,2524.6012099808822,672.1298523120269,0.0,2578.3715981658443,0.7316937199662426
10601->8372,10601,8372,1,"(20250,)",0.5,1,0.5,228.6,0.463,False,11012.0,1515.7015610290746,7910.466099981596,1017.4146728407661,0.0,7991.859273808857,0.7257409438620466
10573->5921,10573,5921,1,"(20112,)",0.32,1,0.32,127.0,0.564,False,7047.68,4828.5732891275275,4977.374179138766,1393.825955791185,0.0,5088.88025560206,0.7220646021956246
10629->10623,10629,10623,1,"(20380,)",1.0,1,1.0,177.8,0.509,False,22024.0,3221.092243313692,15579.917821067107,3272.185430621427,0.0,15841.692655516821,0.719292256425573
5805->10567,5805,10567,1,"(10279,)",0.24,1,0.24,127.0,0.564,False,5285.76,4845.587283402333,3689.765529158992,1086.5191142897575,0.0,3776.6870583021728,0.7145021829031535
1909->12641,1909,12641,1,"(1791,)",1.16,1,1.16,127.0,0.564,False,25547.839999999997,4489.9270198790955,17938.93015029488,3027.7673194320687,0.0,18181.151535849447,0.7116512212323801
