road_component_id,source_init_node,source_term_node,edge_count,edge_indices,length_miles,lanes,lane_miles,max_flood_depth_mm,minimum_capacity_retention_ratio,contains_closed_edge,repair_cost_usd,baseline_component_flow_veh_per_period,same_flow_vehicle_min_saving,capacity_loss_proxy_vehicle_min,closed_link_proxy_vehicle_min,impact_score,impact_per_dollar
12641->1909,12641,1909,1,"(26850,)",1.16,1,1.16,127.0,0.564,False,25547.839999999997,4934.595013398175,24147.583006623994,3327.627698635015,0.0,24413.793222514796,0.9556108548712846
12593->12594,12593,12594,1,"(26685,)",0.32,1,0.32,127.0,0.564,False,7047.68,6601.284617516027,19468.942478627036,1535.0187163930602,0.0,19591.74397593848,2.779885575953857
1909->12641,1909,12641,1,"(1791,)",1.16,1,1.16,127.0,0.564,False,25547.839999999997,4489.9270198790955,17938.93015029488,3027.7673194320687,0.0,18181.151535849447,0.7116512212323801
10629->10623,10629,10623,1,"(20380,)",1.0,1,1.0,177.8,0.509,False,22024.0,3221.092243313692,15579.917821067107,3272.185430621427,0.0,15841.692655516821,0.719292256425573
12594->12593,12594,12593,1,"(26689,)",0.32,1,0.32,127.0,0.564,False,7047.68,5796.804648060451,11236.648865366848,1347.9503074956572,0.0,11344.4848899665,1.6096765020498234
12327->12326,12327,12326,1,"(25817,)",0.81,1,0.81,88.9,0.637,False,17839.440000000002,5844.0417426052245,10687.775932223412,3032.3357533733197,0.0,10930.362792493277,0.6127077303151487
6374->6377,6374,6377,1,"(11242,)",0.7,1,0.7,127.0,0.564,False,15416.8,4691.294954805936,9791.385423441203,2962.310110772631,0.0,10028.370232303014,0.6504832541320517
10623->10629,10623,10629,1,"(20350,)",1.0,1,1.0,177.8,0.509,False,22024.0,2409.969360584665,9578.337452828866,2448.1964607870427,0.0,9774.19316969183,0.44379736513311974
10577->6145,10577,6145,1,"(20129,)",0.56,1,0.56,127.0,0.564,False,12333.44,4993.638912006477,8885.874205740123,2926.192504213204,0.0,9119.96960607718,0.7394505998389078
5128->10547,5128,10547,1,"(8945,)",0.83,1,0.83,127.0,0.564,False,18279.92,4104.598355879403,8472.035088293462,2621.2447994570093,0.0,8681.734672250022,0.4749328592384443
6285->4428,6285,4428,1,"(11040,)",0.45,1,0.45,127.0,0.564,False,9910.800000000001,4995.937336393985,8438.795605350702,1837.8804476259372,0.0,8585.826041160777,0.8663100901199475
8648->4434,8648,4434,1,"(15800,)",0.31,1,0.31,127.0,0.564,False,6827.44,5656.897271903671,8393.139105247546,1835.0069646492007,0.0,8539.939662419483,1.2508260288511484
10910->12660,10910,12660,1,"(21654,)",0.75,1,0.75,127.0,0.564,False,16518.0,4144.880469605258,7874.340135735845,2391.8398474604464,0.0,8065.687323532681,0.4882968472897858
10601->8372,10601,8372,1,"(20250,)",0.5,1,0.5,228.6,0.463,False,11012.0,1515.7015610290746,7910.466099981596,1017.4146728407661,0.0,7991.859273808857,0.7257409438620466
10909->12660,10909,12660,1,"(21650,)",0.69,1,0.69,127.0,0.564,False,15196.56,4184.91487934572,7746.427453703785,2098.316320503944,0.0,7914.292759344101,0.5207950193559662
7020->10358,7020,10358,1,"(12407,)",0.62,1,0.62,127.0,0.564,False,13654.88,4477.569594401035,7134.643893175549,2593.66417019676,0.0,7342.13702679129,0.5376932662016283
1954->1952,1954,1952,1,"(1952,)",0.3,1,0.3,127.0,0.564,False,6607.2,5138.619146488474,7266.894632429574,858.0400651413096,0.0,7335.537837640879,1.1102339625924567
6130->4434,6130,4434,1,"(10826,)",0.55,1,0.55,127.0,0.564,False,12113.2,4729.965424553528,7004.420241293889,2722.189701139047,0.0,7222.195417385014,0.5962252268091844
8372->10601,8372,10601,1,"(15360,)",0.5,1,0.5,228.6,0.463,False,11012.0,1354.6714314179508,7019.5708737482,909.3231983392993,0.0,7092.316729615344,0.6440534625513389
