road_component_id,source_init_node,source_term_node,edge_count,edge_indices,length_miles,lanes,lane_miles,max_flood_depth_mm,minimum_capacity_retention_ratio,contains_closed_edge,repair_cost_usd,baseline_component_flow_veh_per_period,same_flow_vehicle_min_saving,capacity_loss_proxy_vehicle_min,closed_link_proxy_vehicle_min,impact_score,impact_per_dollar,severity_index,boundary_end_count,interior_severe_segment,warmstart_singleton_score,checkpoint_status,checkpoint_stage,checkpoint_generation
4744->2560,4744,2560,1,"(7732,)",0.02,1,0.02,127.0,0.564,False,440.48,1550.9104251127937,30.123803374859573,28.979869086393347,0.0,32.442192901771044,0.07365190905778024,0.41585760821322243,0,True,0.014730381811556049,completed,completed,30
4428->6282,4428,6282,1,"(6760,)",0.03,1,0.03,127.0,0.564,False,660.72,5074.343158928512,508.7955977156069,159.29378044508385,0.0,521.5391001512136,0.7893496490967634,0.5100239386372465,0,True,0.1578699298193527,completed,completed,30
6282->4428,6282,4428,1,"(11036,)",0.03,1,0.03,127.0,0.564,False,660.72,5284.539777674325,603.9738171881909,165.89227270075241,0.0,617.245199004251,0.9342008702691776,0.5154373706592289,0,True,0.18684017405383554,completed,completed,30
6763->4305,6763,4305,1,"(12022,)",0.03,1,0.03,127.0,0.564,False,660.72,4678.2111406133035,404.32841872486574,131.1235751126186,0.0,414.8183047338752,0.6278276800064705,0.5023856813778294,0,True,0.1255655360012941,completed,completed,30
2815->2817,2815,2817,1,"(4247,)",0.04,1,0.04,127.0,0.564,False,880.96,5196.203553972731,869.9897512185885,169.91585621490833,0.0,883.5830197157811,1.0029774560885638,0.5258417428386624,0,True,0.20059549121771278,completed,completed,30
7048->2846,7048,2846,1,"(12485,)",0.04,1,0.04,177.8,0.509,False,880.96,2251.896668500153,319.6512368582085,106.1454013664232,0.0,328.14286896752236,0.3724832784320768,0.5406244591420202,0,True,0.07449665568641536,completed,completed,30
10802->10808,10802,10808,1,"(21165,)",0.05,1,0.05,88.9,0.637,False,1101.2,5067.249928377233,428.51572983180506,141.49320953853353,0.0,439.8351865948877,0.39941444478286203,0.45403320640813216,0,True,0.07988288895657242,completed,completed,30
12331->8481,12331,8481,1,"(25830,)",0.05,1,0.05,127.0,0.564,False,1101.2,3636.785502162574,389.47264953745025,132.13653991190685,0.0,400.0435727304028,0.3632796701147864,0.4985716015754037,0,True,0.07265593402295728,completed,completed,30
5797->8771,5797,8771,1,"(10249,)",0.05,1,0.05,127.0,0.564,False,1101.2,4361.596043040879,525.2190550143937,203.74884372490965,0.0,541.5189625123865,0.49175350754848024,0.5094831496992254,0,True,0.09835070150969605,completed,completed,30
6377->2425,6377,2425,1,"(11254,)",0.05,1,0.05,127.0,0.564,False,1101.2,4249.330765747775,540.5101003831177,173.69139504994035,0.0,554.4054119871129,0.5034556955930919,0.5098927656780268,0,True,0.10069113911861838,completed,completed,30
8080->8078,8080,8078,1,"(15032,)",0.05,1,0.05,127.0,0.564,False,1101.2,2478.571735431773,154.13671460410922,108.06572766482532,0.0,162.78197281729524,0.14782235090564405,0.46792375748972315,0,True,0.029564470181128812,completed,completed,30
8771->5797,8771,5797,1,"(15976,)",0.05,1,0.05,127.0,0.564,False,1101.2,4699.652062077878,685.354174424198,219.54088918563804,0.0,702.917445559049,0.6383195110416355,0.5179945340796892,0,True,0.1276639022083271,completed,completed,30
2426->6377,2426,6377,1,"(3223,)",0.06,1,0.06,127.0,0.564,False,1321.44,4559.626390614657,757.997477400249,246.7858476796126,0.0,777.740345214618,0.58855517103661,0.5206505414102479,0,True,0.11771103420732201,completed,completed,30
2812->6916,2812,6916,1,"(4239,)",0.06,1,0.06,127.0,0.564,False,1321.44,4523.160121162802,736.9319975268545,244.81214228197013,0.0,756.5169689094121,0.572494376520623,0.5197463130799314,0,True,0.1144988753041246,completed,completed,30
4332->2812,4332,2812,1,"(6474,)",0.06,1,0.06,127.0,0.564,False,1321.44,3362.8733498355,310.56926620306626,182.0126210310966,0.0,325.130275885554,0.24604240516826642,0.49160659926690853,0,True,0.04920848103365329,completed,completed,30
6377->2426,6377,2426,1,"(11255,)",0.06,1,0.06,127.0,0.564,False,1321.44,3663.210352566785,384.7140305417517,198.26810239271813,0.0,400.5754787331691,0.3031355784092877,0.49868968667337044,0,True,0.06062711568185754,completed,completed,30
8014->5947,8014,5947,1,"(14954,)",0.06,1,0.06,127.0,0.564,False,1321.44,3652.5538736386875,438.0949374886392,173.72874424434195,0.0,451.9932370281865,0.34204597789395397,0.5022189712536999,0,True,0.0684091955787908,completed,completed,30
8476->8475,8476,8475,1,"(15521,)",0.06,1,0.06,127.0,0.564,False,1321.44,2603.6141087121555,219.15339491433608,127.70727203233122,0.0,229.36997667692256,0.17357577845147912,0.4785434242039743,0,True,0.034715155690295825,completed,completed,30
8756->10347,8756,10347,1,"(15938,)",0.06,1,0.06,127.0,0.564,False,1321.44,5506.362228288662,1566.5271355450884,298.0271087421339,0.0,1590.369304244459,1.2035123079704406,0.5438303889267985,0,True,0.24070246159408815,completed,completed,30
12326->12325,12326,12325,1,"(25813,)",0.07,1,0.07,88.9,0.637,False,1541.68,4392.687489461924,362.47531342531863,176.2392459587803,0.0,376.57445310202104,0.2442623975805751,0.4478976018625608,0,True,0.04885247951611502,completed,completed,30
12335->2745,12335,2745,1,"(25845,)",0.07,1,0.07,127.0,0.564,False,1541.68,4849.86977029517,1079.8065895688753,317.18148297730414,0.0,1105.1811082070597,0.7168680324107853,0.5316973430699139,0,True,0.14337360648215708,completed,completed,30
10444->12903,10444,12903,1,"(19554,)",0.08,1,0.08,88.9,0.637,False,1761.92,3472.1252478195556,72.76294750316112,252.07629299169977,0.0,92.9290509424971,0.052743059243607594,0.4042141784862966,0,True,0.01054861184872152,completed,completed,30
10827->12400,10827,12400,1,"(21279,)",0.08,1,0.08,63.5,0.637,False,1761.92,7540.305406557198,2635.963032450022,410.56962938703947,0.0,2668.808602800985,1.514716106747744,0.4946668129953595,0,True,0.3029432213495488,completed,completed,30
