generation,focus_id,focus_nodes,children_generated,focus_evaluated,screened_out,full_screen_evaluated,high_fidelity_evaluated,new_best_count,stable_best_generations,best_served_total,best_served_ev,best_system_time_min,best_cost_usd,best_budget_remaining_usd,best_budget_utilization,best_station_count,best_road_count,best_hard_feasible,best_ev_completion_target,best_completion_shortfall,best_max_station_utilization,best_unstable_station_count,best_feasibility_violation,operator_weights_json
1,1392cdb628,301,9,9,5,0,0,0,1,1078515.3612064177,19712.551206417575,33696093.393675104,14999797.2,202.80000000074506,0.9999864799999999,3,937,True,19712.0,0.0,0.968894979293469,0,0.0,"{""add_fix"": 1.0, ""crossover_fix"": 1.0, ""mip_intensify"": 0.95, ""remove_fix"": 0.9025, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.9025}"
2,1392cdb628,301,9,9,5,0,0,0,2,1078515.3612064177,19712.551206417575,33696093.393675104,14999797.2,202.80000000074506,0.9999864799999999,3,937,True,19712.0,0.0,0.968894979293469,0,0.0,"{""add_fix"": 0.8573749999999999, ""crossover_fix"": 1.0, ""mip_intensify"": 0.9025, ""remove_fix"": 0.9025, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.8573749999999999}"
3,1392cdb628,301,10,10,5,0,0,0,3,1078515.3612064177,19712.551206417575,33696093.393675104,14999797.2,202.80000000074506,0.9999864799999999,3,937,True,19712.0,0.0,0.968894979293469,0,0.0,"{""add_fix"": 0.8573749999999999, ""crossover_fix"": 1.0, ""mip_intensify"": 0.8573749999999999, ""remove_fix"": 0.8145062499999999, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.7737809374999999}"
4,1392cdb628,301,10,10,5,0,0,0,4,1078515.3612064177,19712.551206417575,33696093.393675104,14999797.2,202.80000000074506,0.9999864799999999,3,937,True,19712.0,0.0,0.968894979293469,0,0.0,"{""add_fix"": 0.7737809374999999, ""crossover_fix"": 0.95, ""mip_intensify"": 0.8573749999999999, ""remove_fix"": 0.8145062499999999, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.6983372960937497}"
5,1392cdb628,301,10,10,5,0,0,0,5,1078515.3612064177,19712.551206417575,33696093.393675104,14999797.2,202.80000000074506,0.9999864799999999,3,937,True,19712.0,0.0,0.968894979293469,0,0.0,"{""add_fix"": 0.7350918906249998, ""crossover_fix"": 0.8145062499999999, ""mip_intensify"": 0.8573749999999999, ""remove_fix"": 0.8145062499999999, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.6634204312890623}"
6,1392cdb628,301,10,10,5,0,0,0,6,1078515.3612064177,19712.551206417575,33696093.393675104,14999797.2,202.80000000074506,0.9999864799999999,3,937,True,19712.0,0.0,0.968894979293469,0,0.0,"{""add_fix"": 0.7350918906249998, ""crossover_fix"": 0.7737809374999999, ""mip_intensify"": 0.8573749999999999, ""remove_fix"": 0.7737809374999999, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.5688000922764596}"
7,1392cdb628,301,9,9,5,0,0,0,7,1078515.3612064177,19712.551206417575,33696093.393675104,14999797.2,202.80000000074506,0.9999864799999999,3,937,True,19712.0,0.0,0.968894979293469,0,0.0,"{""add_fix"": 0.6634204312890623, ""crossover_fix"": 0.6983372960937497, ""mip_intensify"": 0.8145062499999999, ""remove_fix"": 0.7737809374999999, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.5688000922764596}"
8,1392cdb628,301,10,10,5,0,0,0,8,1078515.3612064177,19712.551206417575,33696093.393675104,14999797.2,202.80000000074506,0.9999864799999999,3,937,True,19712.0,0.0,0.968894979293469,0,0.0,"{""add_fix"": 0.5987369392383786, ""crossover_fix"": 0.6302494097246091, ""mip_intensify"": 0.7737809374999999, ""remove_fix"": 0.7737809374999999, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.5688000922764596}"
9,1392cdb628,301,5,5,5,0,0,0,9,1078515.3612064177,19712.551206417575,33696093.393675104,14999797.2,202.80000000074506,0.9999864799999999,3,937,True,19712.0,0.0,0.968894979293469,0,0.0,"{""add_fix"": 0.5688000922764596, ""crossover_fix"": 0.5987369392383786, ""mip_intensify"": 0.6983372960937497, ""remove_fix"": 0.7350918906249998, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.5688000922764596}"
10,e7be6f1179,296,10,10,5,0,0,0,10,1078515.3612064177,19712.551206417575,33696093.393675104,14999797.2,202.80000000074506,0.9999864799999999,3,937,True,19712.0,0.0,0.968894979293469,0,0.0,"{""add_fix"": 0.5403600876626365, ""crossover_fix"": 0.5403600876626365, ""mip_intensify"": 0.6983372960937497, ""remove_fix"": 0.6983372960937497, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.5403600876626365}"
