warmstart_index,source,station_set,road_count,cost_usd,screen_served_total,screen_served_ev,screen_system_time_min,screen_hard_feasible,screen_ev_completion_target,screen_ev_target_shortfall,screen_max_station_utilization,screen_unstable_station_count,surrogate_priority
1,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C4;C5;C7,937,14999797.2,1078513.9610239652,19711.151023965023,165020358.35474265,False,19712.0,0.8489760349766584,1.016975491555723,1,999900000429.0559
2,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C5;C6;C7,561,14999854.32,1078513.9610239652,19711.151023965023,284468429.0444556,False,19712.0,0.8489760349766584,1.1234728650692862,2,999800000322.8997
3,user-specified station warm start rank 3: repairs=C2+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 1,C2;C4;C5;C7,923,14999735.6,1078513.9610239652,19711.151023965023,163524785.46032378,False,19712.0,0.8489760349766584,1.005042562434663,1,999700000425.9255
4,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C1;C4;C5;C7,914,14999704.8,1078513.9610239652,19711.151023965023,33736554.11725569,False,19712.0,0.8489760349766584,0.979361138243339,0,999600000423.7523
5,user-specified station warm start rank 5: repairs=C2+C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C2;C5;C6;C7,541,14999792.719999999,1078263.1492479101,19460.33924791002,273181851.7853262,False,19712.0,251.66075208998154,1.0828512078060926,2,999500000316.0465
6,user-specified station warm start rank 6: repairs=C1+C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C1;C5;C6;C7,531,14999982.16,1078513.9610239652,19711.151023965023,464050000.56414366,False,19712.0,0.8489760349766584,1.1225245719508465,4,999400000312.9221
7,user-specified station warm start rank 7: repairs=C1+C4+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 1,C1;C4;C6;C7,453,14999830.48,1078435.93737351,19633.127373510033,273661830.12884617,False,19712.0,78.87262648996693,1.0328230673203218,2,999300000283.4381
8,user-specified station warm start rank 8: repairs=C4+C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C4;C5;C6;C7,409,14999832.8,1078416.94256534,19614.13256534004,35037346.630093165,False,19712.0,97.86743465995823,0.9883730805369917,0,999200000266.1218
9,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C4;C5;C7,937,14999797.2,1078513.9610239652,19711.151023965023,164893489.57938984,False,19712.0,0.8489760349766584,1.0159315415957386,1,999900000428.5139
10,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 1,C4;C5;C7,934,14999797.2,1078513.9610239652,19711.151023965023,165752878.61139417,False,19712.0,0.8489760349766584,1.0226060115348767,1,999900000428.3589
11,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_impact,C4;C5;C7,359,14999576.96,1078515.3612064177,19712.551206417524,310748195.9757501,False,19712.0,0.0,1.0499079896927779,1,999900000199.1152
12,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=boundary_first,C4;C5;C7,292,14999797.2,1078418.3427477926,19615.532747792542,307658859.4504936,False,19712.0,96.46725220745793,1.0351778094105881,1,999900000175.2195
13,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C5;C6;C7,558,14999854.32,1078513.9610239652,19711.151023965023,408982754.84891427,False,19712.0,0.8489760349766584,1.1085402591144145,3,999800000321.9407
14,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 1,C5;C6;C7,557,14999854.32,1078513.9610239652,19711.151023965023,408537250.0241387,False,19712.0,0.8489760349766584,1.1126200196370242,3,999800000321.8448
15,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_impact,C5;C6;C7,128,14999634.08,1078416.94256534,19614.13256534004,457305087.1153837,False,19712.0,97.86743465995823,1.0773488216452043,2,999800000083.4631
16,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=boundary_first,C5;C6;C7,82,14999854.32,1078418.3427477926,19615.532747792542,451259405.17526984,False,19712.0,96.46725220745793,1.0585150229643574,2,999800000027.8217
