generation,focus_id,focus_nodes,children_generated,focus_evaluated,screened_out,full_screen_evaluated,high_fidelity_evaluated,new_best_count,stable_best_generations,best_served_total,best_served_ev,best_system_time_min,best_cost_usd,best_budget_remaining_usd,best_budget_utilization,best_station_count,best_road_count,best_hard_feasible,best_ev_completion_target,best_completion_shortfall,best_max_station_utilization,best_unstable_station_count,best_feasibility_violation,best_charging_entries_period,best_average_wait_min_per_charging_session,best_average_station_delay_min_per_charging_session,operator_weights_json
1,1392cdb628,301,10,10,0,5,2,1,0,1078515.3612064177,19712.55120641756,32479657.55572771,24999794.4,205.60000000149012,0.9999917759999999,3,1705,True,19712.0,0.0,0.8629793899309769,0,0.0,897.3042332966924,1.1820447220789168,75.05598111546007,"{""add_fix"": 2.8073749999999995, ""crossover_fix"": 1.95, ""mip_intensify"": 1.0, ""remove_fix"": 1.0, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.0, ""swap_fix"": 1.95}"
2,1392cdb628,301,10,10,0,5,2,0,1,1078515.3612064177,19712.55120641756,32479657.55572771,24999794.4,205.60000000149012,0.9999917759999999,3,1705,True,19712.0,0.0,0.8629793899309769,0,0.0,897.3042332966924,1.1820447220789168,75.05598111546007,"{""add_fix"": 3.5336559374999994, ""crossover_fix"": 2.8525, ""mip_intensify"": 1.0, ""remove_fix"": 0.95, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.0, ""swap_fix"": 2.8525}"
3,1392cdb628,301,10,10,1,4,2,0,2,1078515.3612064177,19712.55120641756,32479657.55572771,24999794.4,205.60000000149012,0.9999917759999999,3,1705,True,19712.0,0.0,0.8629793899309769,0,0.0,897.3042332966924,1.1820447220789168,75.05598111546007,"{""add_fix"": 4.780684846443359, ""crossover_fix"": 2.8525, ""mip_intensify"": 1.0, ""remove_fix"": 0.95, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.0, ""swap_fix"": 3.709875}"
4,1392cdb628,301,10,10,0,5,2,1,0,1078515.3612064177,19712.55120641756,32461770.628786996,24999353.92,646.0799999982119,0.9999741568000001,3,1892,True,19712.0,0.0,0.8674701588844087,0,0.0,897.3293998602647,1.2295645005806226,75.07309948569845,"{""add_fix"": 7.603772686708406, ""crossover_fix"": 2.8525, ""mip_intensify"": 1.0, ""remove_fix"": 0.95, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.0, ""swap_fix"": 4.524381249999999}"
5,1392cdb628,301,10,10,1,4,2,1,0,1078515.3612064177,19712.551206417553,32449970.34501188,24999574.16,425.839999999851,0.9999829664,3,1905,True,19712.0,0.0,0.8631261400577014,0,0.0,897.6659241434147,1.2119202563165057,75.13379500071672,"{""add_fix"": 9.045820376903288, ""crossover_fix"": 2.8525, ""mip_intensify"": 1.0, ""remove_fix"": 0.95, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.0, ""swap_fix"": 5.298162187499999}"
6,1392cdb628,301,10,10,2,3,2,1,0,1078515.3612064177,19712.551206417553,32437092.529941875,24999794.4,205.60000000149012,0.9999917759999999,3,1941,True,19712.0,0.0,0.8694283884801021,0,0.0,898.7585680324751,1.2950268059866266,75.18229418611179,"{""add_fix"": 9.851983371696827, ""crossover_fix"": 2.8525, ""mip_intensify"": 1.0, ""remove_fix"": 0.95, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.0, ""swap_fix"": 5.298162187499999}"
7,1392cdb628,301,10,10,2,3,2,0,1,1078515.3612064177,19712.551206417553,32437092.529941875,24999794.4,205.60000000149012,0.9999917759999999,3,1941,True,19712.0,0.0,0.8694283884801021,0,0.0,898.7585680324751,1.2950268059866266,75.18229418611179,"{""add_fix"": 8.446844243308565, ""crossover_fix"": 2.8525, ""mip_intensify"": 1.0, ""remove_fix"": 0.95, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.0, ""swap_fix"": 5.781591374218749}"
8,1392cdb628,301,10,10,2,3,2,1,0,1078515.3612064177,19712.551206417553,32435482.28905183,24999794.4,205.60000000149012,0.9999917759999999,3,1953,True,19712.0,0.0,0.8684552262778495,0,0.0,898.7760293139207,1.2507053463779512,75.06457053130578,"{""add_fix"": 8.24211308310668, ""crossover_fix"": 3.709875, ""mip_intensify"": 1.0, ""remove_fix"": 0.95, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.0, ""swap_fix"": 5.492511805507811}"
9,1392cdb628,301,10,10,1,4,2,1,0,1078515.3612064177,19712.551206417553,32432533.01372702,24999353.92,646.0799999982119,0.9999741568000001,3,1949,True,19712.0,0.0,0.8704549536262671,0,0.0,898.6899094772516,1.2664955484340124,75.01858253571127,"{""add_fix"": 9.016581704628589, ""crossover_fix"": 4.524381249999999, ""mip_intensify"": 1.0, ""remove_fix"": 0.95, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.0, ""swap_fix"": 6.21788621523242}"
10,30ae01f335,300,10,10,1,4,2,1,0,1078515.3612064177,19712.551206417553,32431029.263644848,24999353.92,646.0799999982119,0.9999741568000001,3,1951,True,19712.0,0.0,0.8685687667164695,0,0.0,898.7585680324759,1.289182779510248,75.11657455872775,"{""add_fix"": 9.087464988427302, ""crossover_fix"": 4.524381249999999, ""mip_intensify"": 1.95, ""remove_fix"": 0.95, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 0.95, ""swap_fix"": 6.906991904470799}"
