warmstart_index,source,station_set,road_count,cost_usd,screen_served_total,screen_served_ev,screen_system_time_min,screen_hard_feasible,screen_ev_completion_target,screen_ev_target_shortfall,screen_max_station_utilization,screen_unstable_station_count,screen_charging_entries_period,screen_average_wait_min_per_charging_session,screen_average_station_delay_min_per_charging_session,surrogate_priority,initial_station_marginal_gate
1,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C4;C5;C7,1237,24999794.4,1078515.3612064177,19712.551206417524,32538078.545339342,True,19712.0,0.0,0.8865911620992959,0,880.5033603820805,0.9159043403821566,75.17889816184511,999900000472.9052,
2,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C5;C6;C7,1117,24999631.28,1078515.3612064177,19712.551206417524,33291971.030273188,True,19712.0,0.0,0.7879398461565474,0,874.3593436597895,0.026338118712771634,92.18593812402258,999800000461.35,
3,user-specified station warm start rank 3: repairs=C2+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C2;C4;C5;C7,1229,24999732.8,1078515.3612064177,19712.551206417524,32565416.32119844,True,19712.0,0.0,0.9111749595928111,0,889.6079817035402,2.0422975383889024,77.60727448896732,999700000472.7968,extra station retained because least-used-station removal failed the EV/queue feasibility screen
4,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C1;C4;C5;C7,1246,24999922.24,1078515.3612064177,19712.551206417524,32566705.219775107,True,19712.0,0.0,0.9500738312745268,0,897.8095351266643,4.408481041048547,81.63474336123824,999600000472.7126,material_charging_improvement:wait_drop=0.484250;delay_drop=-1.160251;total_wait_drop_pct=0.383975;min_new_entries=40.380102
5,user-specified station warm start rank 5: repairs=C2+C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 1,C2;C5;C6;C7,1109,24999569.68,1078515.3612064177,19712.551206417524,33318306.462279484,True,19712.0,0.0,0.7577532275957092,0,872.530475694582,0.030676918270956935,91.64170413826817,999500000460.1036,no_material_charging_improvement:wait_drop=-0.004993;delay_drop=0.080922;total_wait_drop_pct=-0.573747;min_new_entries=17.117511
6,user-specified station warm start rank 6: repairs=C1+C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C1;C5;C6;C7,1110,24999979.36,1078515.3612064177,19712.551206417524,33340267.951324698,True,19712.0,0.0,0.7517989405761948,0,889.8413454456228,0.05416719819199047,90.75883423567734,999400000460.4174,material_charging_improvement:wait_drop=0.002118;delay_drop=1.413298;total_wait_drop_pct=0.240663;min_new_entries=30.364931
7,user-specified station warm start rank 7: repairs=C1+C4+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C1;C4;C6;C7,1086,24999827.68,1078515.3612064177,19712.551206417524,82738417.26133892,False,19712.0,0.0,1.0006924303462006,1,879.9749121022892,56030.51604714475,56128.993956038124,999300000456.9535,material_charging_improvement:wait_drop=32.490772;delay_drop=33.470165;total_wait_drop_pct=0.877571;min_new_entries=46.066823
8,user-specified station warm start rank 8: repairs=C4+C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C4;C5;C6;C7,1067,24999830.0,1078515.3612064177,19712.551206417524,33456263.126757756,True,19712.0,0.0,0.735329931182908,0,881.6954204120821,0.004608165626808414,87.30499880520573,999200000453.7998,extra station retained because least-used-station removal failed the EV/queue feasibility screen
9,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C4;C5;C7,1228,24999794.4,1078515.3612064177,19712.551206417524,32534072.170815535,True,19712.0,0.0,0.8865435586504558,0,880.5033603820815,0.8994505461619933,75.11894362931936,999900000472.7976,
10,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=boundary_first,C4;C5;C7,1037,24999794.4,1078515.3612064177,19712.551206417524,32965195.432226297,True,19712.0,0.0,0.8966306143308165,0,872.4184888299976,1.474878231298931,75.0079426661578,999900000440.0645,
11,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_impact,C4;C5;C7,717,24999794.4,1078508.9571463251,19706.14714632503,158902183.0861659,False,19712.0,5.852853674969083,1.020724338164245,1,880.6200422531231,143293.34324083608,143367.7919705316,999900000321.8887,
12,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C5;C6;C7,1114,24999631.28,1078515.3612064177,19712.551206417524,33132367.822405834,True,19712.0,0.0,0.7879396925095145,0,874.3593436597904,0.02501816837329365,92.58246697573601,999800000460.6934,
13,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 1,C5;C6;C7,1116,24999631.28,1078515.3612064177,19712.551206417524,33092813.972553965,True,19712.0,0.0,0.7879415769303781,0,874.3593436597904,0.025079790954748635,92.58412148178807,999800000460.6797,
14,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=boundary_first,C5;C6;C7,662,24999851.52,1078515.3612064177,19712.551206417524,33785995.25855783,True,19712.0,0.0,0.7879531361813313,0,874.3593436597888,0.02511811262771725,92.55518191206872,999800000337.6342,
15,user-specified station warm start rank 2: repairs=C5+C6+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_impact,C5;C6;C7,491,24999851.52,1078515.3612064177,19712.551206417524,33482599.49268123,True,19712.0,0.0,0.7879720395224825,0,874.3593436597891,0.025589164375323808,91.93906410603334,999800000246.2644,
16,user-specified station warm start rank 3: repairs=C2+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=boundary_first,C2;C4;C5;C7,1024,24999953.04,1078515.3612064177,19712.551206417524,32988438.08209695,True,19712.0,0.0,0.9181606519833998,0,889.7246635745828,3.042292854772834,77.96338359751049,999700000437.9092,extra station retained because least-used-station removal failed the EV/queue feasibility screen
17,user-specified station warm start rank 3: repairs=C2+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_impact,C2;C4;C5;C7,699,24999732.8,1078515.3612064177,19712.551206417524,63136804.90253478,False,19712.0,0.0,1.0135671990367445,1,890.2583352489562,34157.6758259122,34233.6718689706,999700000315.9963,extra station retained because least-used-station removal failed the EV/queue feasibility screen
18,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 1,C1;C4;C5;C7,1239,24999922.24,1078515.3612064177,19712.551206417524,32575925.54482865,True,19712.0,0.0,0.9505014157869949,0,896.7421917779149,3.243982818964392,79.678548161583,999600000472.6813,material_charging_improvement:wait_drop=0.484250;delay_drop=-1.160251;total_wait_drop_pct=0.383975;min_new_entries=40.380102
19,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=boundary_first,C1;C4;C5;C7,1017,24999922.24,1078515.3612064177,19712.551206417524,97395838.10472359,False,19712.0,0.0,1.307013135523071,1,896.7421917779146,71813.06188207,71889.48884980571,999600000436.575,material_charging_improvement:wait_drop=0.484250;delay_drop=-1.160251;total_wait_drop_pct=0.383975;min_new_entries=40.380102
20,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_impact,C1;C4;C5;C7,712,24999922.24,1078515.3612064177,19712.551206417524,82443470.08518392,False,19712.0,0.0,1.0086494379059154,1,898.3432068010403,55321.338121820016,55398.41498655227,999600000322.1973,material_charging_improvement:wait_drop=0.484250;delay_drop=-1.160251;total_wait_drop_pct=0.383975;min_new_entries=40.380102
