road_component_id,source_init_node,source_term_node,edge_count,edge_indices,length_miles,lanes,lane_miles,max_flood_depth_mm,minimum_capacity_retention_ratio,contains_closed_edge,repair_cost_usd,baseline_component_flow_veh_per_period,same_flow_vehicle_min_saving,capacity_loss_proxy_vehicle_min,closed_link_proxy_vehicle_min,impact_score,impact_per_dollar,capacity_loss_fraction,depth_norm,impact_norm,flow_norm,severity_index,severe_for_warmstart,upstream_candidate_count,downstream_candidate_count,upstream_severe_count,downstream_severe_count,upstream_boundary,downstream_boundary,boundary_end_count,interior_severe_segment,warmstart_singleton_score
12593->12594,12593,12594,1,"(26685,)",0.32,1,0.32,127.0,0.564,False,7047.68,6593.399986663676,19367.27920483052,1533.1852768988604,0.0,19489.934026982428,2.765439694620418,0.43600000000000005,0.42333333333333334,0.9556927860357993,0.9587832413718703,0.6198528266145935,True,2,4,2,4,False,False,0,True,0.5530879389240836
12400->10827,12400,10827,1,"(26028,)",0.08,1,0.08,63.5,0.637,False,1761.92,8045.283356793765,3645.0320879702026,438.06567877742054,0.0,3680.0773422723964,2.088674481402332,0.363,0.21166666666666667,0.791477334568112,0.9804785228418285,0.5048743859879498,True,3,4,3,3,False,False,0,True,0.4177348962804664
12594->12593,12594,12593,1,"(26689,)",0.32,1,0.32,127.0,0.564,False,7047.68,5806.145700710913,11310.380691457338,1350.122413605311,0.0,11418.390484545762,1.6201630159918954,0.43600000000000005,0.42333333333333334,0.9030178742801451,0.9449224267928047,0.6026642716299907,True,4,2,4,2,False,False,0,True,0.3240326031983791
10827->12400,10827,12400,1,"(21279,)",0.08,1,0.08,63.5,0.637,False,1761.92,7542.3127728861455,2639.4736074227326,410.6789304836507,0.0,2672.327921861425,1.5167135408312662,0.363,0.21166666666666667,0.7599611195438394,0.9734409382545172,0.49471576302193687,True,4,3,3,3,False,False,0,True,0.30334270816625325
8648->4434,8648,4434,1,"(15800,)",0.31,1,0.31,127.0,0.564,False,6827.44,5701.947901258147,8693.355756696295,1849.6206680017233,0.0,8841.325410136433,1.2949693311309118,0.43600000000000005,0.42333333333333334,0.8778189077900744,0.9429483833498097,0.5949071773386699,True,3,4,3,4,False,False,0,True,0.25899386622618237
10627->7587,10627,7587,1,"(20369,)",0.1,1,0.1,127.0,0.564,False,2202.4,5571.676768057441,2695.140658274561,520.5538009013667,0.0,2736.78496234667,1.2426375600920223,0.43600000000000005,0.42333333333333334,0.762308478093458,0.940429012766396,0.5600021113713437,True,3,4,3,4,False,False,0,True,0.24852751201840448
8756->10347,8756,10347,1,"(15938,)",0.06,1,0.06,127.0,0.564,False,1321.44,5514.245983346852,1575.8335977832696,298.4538101883179,0.0,1599.709902598335,1.2105808077539162,0.43600000000000005,0.42333333333333334,0.7094300773616107,0.9392995716533045,0.5440256470404804,True,4,3,4,3,False,False,0,True,0.24211616155078325
1954->1952,1954,1952,1,"(1952,)",0.3,1,0.3,127.0,0.564,False,6607.2,5146.004901139819,7303.132786665246,859.2733290243681,0.0,7371.874652987196,1.1157335411350036,0.43600000000000005,0.42333333333333334,0.8599128099437093,0.9317656472983944,0.5884170743796189,True,4,4,4,4,False,False,0,True,0.22314670822700072
12641->1909,12641,1909,1,"(26850,)",1.16,1,1.16,127.0,0.564,False,25547.839999999997,5022.243919086482,25622.695710862914,3386.733446022906,0.0,25893.634386544745,1.013535171135593,0.43600000000000005,0.42333333333333334,0.9836823082529066,0.9291120271433291,0.6252825618568716,True,3,4,3,4,False,False,0,True,0.20270703422711864
2815->2817,2815,2817,1,"(4247,)",0.04,1,0.04,127.0,0.564,False,880.96,5199.665727236187,872.2173976291919,170.02906928062336,0.0,885.8197231716417,1.0055163948098003,0.43600000000000005,0.42333333333333334,0.6512452529779739,0.9328964420937554,0.5259298867694344,True,4,4,4,4,False,False,0,True,0.20110327896196006
5930->5921,5930,5921,1,"(10507,)",0.31,1,0.31,127.0,0.564,False,6827.44,5219.967417138073,6514.7918658027575,1459.718888483549,0.0,6631.569376881442,0.9713112640874826,0.43600000000000005,0.42333333333333334,0.8494873782113895,0.9333212201838312,0.5854450021484666,True,4,6,4,6,False,False,0,True,0.19426225281749654
6282->4428,6282,4428,1,"(11036,)",0.03,1,0.03,127.0,0.564,False,660.72,5285.608060574617,604.4959533546951,165.9258082375584,0.0,617.7700180136998,0.9349951840623861,0.43600000000000005,0.42333333333333334,0.6157854196749163,0.9346834209203038,0.5154706346611719,True,4,4,4,4,False,False,0,True,0.18699903681247723
2425->6379,2425,6379,1,"(3220,)",0.25,1,0.25,127.0,0.564,False,5506.0,5099.85845965089,5063.4908664494415,1042.2835726911508,0.0,5146.873552264734,0.9347754362994432,0.43600000000000005,0.42333333333333334,0.8245203775375883,0.9307837343749427,0.5777011533654375,True,4,4,4,4,False,False,0,True,0.18695508725988863
6386->2426,6386,2426,1,"(11285,)",0.39,1,0.39,152.4,0.509,False,8589.36,4199.08007439809,7579.227018186346,1663.6176071306697,0.0,7712.3164267568,0.8978918600171374,0.491,0.508,0.8643602704382152,0.9095991614574301,0.6237179972772076,True,4,4,4,4,False,False,0,True,0.1795783720034275
10568->8788,10568,8788,1,"(20087,)",0.4,1,0.4,127.0,0.564,False,8809.6,5123.675446475365,7064.3261598511035,2144.565594876729,0.0,7235.891407441241,0.8213643533691928,0.43600000000000005,0.42333333333333334,0.8580786812547019,0.9312916209796692,0.5878194331410441,True,3,4,3,4,False,False,0,True,0.16427287067383856
6285->4428,6285,4428,1,"(11040,)",0.45,1,0.45,127.0,0.564,False,9910.800000000001,4921.918491827098,7987.966959321483,1810.6507651808938,0.0,8132.819020535954,0.820601668940545,0.43600000000000005,0.42333333333333334,0.8695901897803298,0.9269124694840154,0.5908349705491671,True,4,4,4,4,False,False,0,True,0.164120333788109
10585->6305,10585,6305,1,"(20172,)",0.06,1,0.06,127.0,0.564,False,1321.44,5021.083432755887,1058.3620997372423,281.46759128763,0.0,1080.8795070402527,0.8179557959803341,0.43600000000000005,0.42333333333333334,0.6708332811783814,0.9290868363939415,0.5314253346595753,True,4,4,4,4,False,False,0,True,0.16359115919606682
4428->6282,4428,6282,1,"(6760,)",0.03,1,0.03,127.0,0.564,False,660.72,5073.933469258895,508.6241850180244,159.28091946697523,0.0,521.3666585753824,0.7890886586986657,0.43600000000000005,0.42333333333333334,0.5990988907390484,0.9302281929151636,0.5100191531798975,True,4,4,4,4,False,False,0,True,0.15781773173973315
4434->8648,4434,8648,1,"(6781,)",0.31,1,0.31,127.0,0.564,False,6827.44,5060.101738918832,5196.300904657932,1641.4160424774468,0.0,5327.614188056127,0.7803238385187021,0.43600000000000005,0.42333333333333334,0.8279202162164278,0.9299306334135717,0.5786357948729521,True,4,3,4,3,False,False,0,True,0.15606476770374045
9001->9000,9001,9000,1,"(16602,)",0.12,1,0.12,127.0,0.564,False,2642.88,5048.961138067804,1993.0988491060243,633.9879521848981,0.0,2043.8178852808162,0.7733298088754753,0.43600000000000005,0.42333333333333334,0.733554984629709,0.929690375816543,0.5503021996372337,True,3,3,3,3,False,False,0,True,0.15466596177509506
6377->6376,6377,6376,1,"(11257,)",0.45,1,0.45,127.0,0.564,False,9910.800000000001,4840.351279822005,7518.864927123183,1780.6442270645205,0.0,7661.316465288345,0.7730270477951673,0.43600000000000005,0.42333333333333334,0.8637066681543941,0.9250908775233666,0.5888877548653215,True,4,4,4,4,False,False,0,True,0.15460540955903346
7866->10358,7866,10358,1,"(14685,)",0.1,1,0.1,127.0,0.564,False,2202.4,4897.26326031921,1601.0283935557163,457.54431032125194,0.0,1637.6319383814164,0.7435669898208392,0.43600000000000005,0.42333333333333334,0.7117369829730384,0.9263650611576951,0.5434242676743477,True,4,4,4,4,False,False,0,True,0.14871339796416785
5292->10550,5292,10550,1,"(9408,)",0.26,1,0.26,127.0,0.564,False,5726.24,4771.576664775357,4128.158927452558,1014.1986200980024,0.0,4209.294817060398,0.735088787242658,0.43600000000000005,0.42333333333333334,0.8047118825504064,0.9235309663680904,0.5710333280685976,True,4,4,4,4,False,False,0,True,0.1470177574485316
5805->10567,5805,10567,1,"(10279,)",0.24,1,0.24,127.0,0.564,False,5285.76,4879.342641068946,3788.8342157652373,1094.0880299174025,0.0,3876.3612581586294,0.7333593008684899,0.43600000000000005,0.42333333333333334,0.7965956305985956,0.9259654462277848,0.5688419004690238,True,4,4,4,4,False,False,0,True,0.146671860173698
10577->6145,10577,6145,1,"(20129,)",0.56,1,0.56,127.0,0.564,False,12333.44,4977.622085326512,8768.862293986265,2916.8069000479713,0.0,9002.206845990104,0.7299023505194093,0.43600000000000005,0.42333333333333334,0.879595400033794,0.9281392028364712,0.593959206960452,True,4,4,4,4,False,False,0,True,0.14598047010388188
10601->8372,10601,8372,1,"(20250,)",0.5,1,0.5,228.6,0.463,False,11012.0,1515.7456845174192,7910.714553678543,1017.4442907323175,0.0,7992.110096937128,0.7257637211167025,0.5369999999999999,0.762,0.8678708721911834,0.798550897988977,0.6805663514562525,True,4,4,4,4,False,False,0,True,0.1451527442233405
10629->10623,10629,10623,1,"(20380,)",1.0,1,1.0,177.8,0.509,False,22024.0,3229.2177846133427,15660.298211547586,3280.4398598175544,0.0,15922.73340033299,0.722971912474255,0.491,0.5926666666666667,0.9357771238705707,0.8809736112504821,0.6592138316195527,True,4,4,4,4,False,False,0,True,0.144594382494851
12335->2745,12335,2745,1,"(25845,)",0.07,1,0.07,127.0,0.564,False,1541.68,4846.841811732585,1077.2423051009334,316.98345448731106,0.0,1102.6009814599183,0.7151944511571262,0.43600000000000005,0.42333333333333334,0.6727918182220574,0.9252369464687149,0.5316279067801554,True,4,4,4,4,False,False,0,True,0.14303889023142524
1909->12641,1909,12641,1,"(1791,)",1.16,1,1.16,127.0,0.564,False,25547.839999999997,4477.266225785962,17789.940659948308,3019.229555138011,0.0,18031.47902435935,0.7057927020194017,0.43600000000000005,0.42333333333333334,0.9480300359228823,0.9165913398079161,0.613334811424323,True,4,3,4,3,False,False,0,True,0.14115854040388034
10573->5896,10573,5896,1,"(20109,)",0.43,1,0.43,127.0,0.564,False,9470.32,4798.531772491879,6534.8348971899795,1861.3008345657465,0.0,6683.738963955239,0.7057564014685079,0.43600000000000005,0.42333333333333334,0.8502593088649535,0.9241450107465604,0.5847589604008088,True,4,4,4,4,False,False,0,True,0.14115128029370158
1952->1954,1952,1954,1,"(1944,)",0.3,1,0.3,127.0,0.564,False,6607.2,4399.69062432629,4451.340782114765,734.6547238236751,0.0,4510.113160020659,0.6826058178987557,0.43600000000000005,0.42333333333333334,0.8115111973396137,0.914686144921923,0.5721886403607431,True,4,4,4,4,False,False,0,True,0.13652116357975116
2745->10542,2745,10542,1,"(4055,)",0.14,1,0.14,127.0,0.564,False,3083.36,4891.680774494957,2041.219672188379,716.6116667404134,0.0,2098.548605527612,0.6806044722405467,0.43600000000000005,0.42333333333333334,0.7361573806151696,0.9262407333551064,0.5507379541867281,True,4,3,4,3,False,False,0,True,0.13612089444810935
8081->2863,8081,2863,1,"(15034,)",0.16,1,0.16,127.0,0.564,False,3523.84,4720.223259365187,2344.4399112609076,658.565549146631,0.0,2397.125155192638,0.6802593634196326,0.43600000000000005,0.42333333333333334,0.7492577051653948,0.922351464700915,0.5542791246863766,True,1,4,1,4,False,False,0,True,0.13605187268392652
10573->5921,10573,5921,1,"(20112,)",0.32,1,0.32,127.0,0.564,False,7047.68,4719.105314138823,4573.40426997785,1362.22670364548,0.0,4682.3824062694885,0.6643863521427602,0.43600000000000005,0.42333333333333334,0.8152035722707104,0.9223256449192305,0.5740603028398028,True,4,6,4,6,False,False,0,True,0.13287727042855205
8811->6389,8811,6389,1,"(16110,)",0.19,1,0.19,177.8,0.509,False,4184.56,3018.1186254743507,2721.109192663418,527.9255373196916,0.0,2763.3432356489934,0.6603664986638961,0.491,0.5926666666666667,0.7632596250556417,0.8736050446148176,0.6067217253115076,True,4,3,4,3,False,False,0,True,0.13207329973277923
8372->10601,8372,10601,1,"(15360,)",0.5,1,0.5,228.6,0.463,False,11012.0,1355.577163794165,7024.502563333632,909.9311711968331,0.0,7097.297057029378,0.6445057262104412,0.5369999999999999,0.762,0.8561735242406605,0.7863832027027855,0.6758403775424766,True,4,4,4,4,False,False,0,True,0.12890114524208826
6374->6377,6374,6377,1,"(11242,)",0.7,1,0.7,127.0,0.564,False,15416.8,4670.167589689579,9632.646899955462,2948.9692724963993,0.0,9868.564441755174,0.6401175627727657,0.43600000000000005,0.42333333333333334,0.8886473463912529,0.9211893569950326,0.5959798062835459,True,6,4,6,4,False,False,0,True,0.12802351255455313
8771->5797,8771,5797,1,"(15976,)",0.05,1,0.05,127.0,0.564,False,1101.2,4701.161466563903,686.1691130574444,219.61139993805662,0.0,703.738025052489,0.6390646794882755,0.43600000000000005,0.42333333333333334,0.6286027416294702,0.92191037942099,0.5180385270976068,True,4,4,4,4,False,False,0,True,0.1278129358976551
10347->6386,10347,6386,1,"(19119,)",0.32,1,0.32,152.4,0.509,False,7047.68,3733.3291648291633,4362.37647307204,1213.6151966440514,0.0,4459.465688803564,0.6327565509222275,0.491,0.508,0.8103987777627034,0.8967845976332045,0.6062480930921315,True,3,4,3,4,False,False,0,True,0.12655131018444551
4305->8758,4305,8758,1,"(6405,)",0.09,1,0.09,127.0,0.564,False,1982.1599999999999,4681.4091698666825,1216.0438405666087,393.6396339119328,0.0,1247.5350112795634,0.6293815894173848,0.43600000000000005,0.42333333333333334,0.6849490195515888,0.9214514256059797,0.5348965150927414,True,4,3,4,3,False,False,0,True,0.12587631788347695
6763->4305,6763,4305,1,"(12022,)",0.03,1,0.03,127.0,0.564,False,660.72,4680.788643931878,405.1499253693411,131.19581884849066,0.0,415.64559087722034,0.6290797779350108,0.43600000000000005,0.42333333333333334,0.5768191262880202,0.9214369760497703,0.5024561021580498,True,4,4,4,4,False,False,0,True,0.12581595558700218
2847->10607,2847,10607,1,"(4352,)",0.4,1,0.4,228.6,0.463,False,8809.6,1232.4279637314708,5499.451209601207,441.2092110158664,0.0,5534.747946482476,0.6282632521888027,0.5369999999999999,0.762,0.8316775035014385,0.7760073517030288,0.6674539862207344,True,3,4,3,4,False,False,0,True,0.12565265043776055
10623->10889,10623,10889,1,"(20351,)",0.42,1,0.42,152.4,0.509,False,9250.08,3840.524571821473,5654.106030746681,1900.783145282458,0.0,5806.168682369278,0.6276884829503396,0.491,0.508,0.836393530854251,0.8998701912843414,0.6143550783847094,True,4,3,4,3,False,False,0,True,0.12553769659006794
5019->5017,5019,5017,1,"(8613,)",0.35,1,0.35,127.0,0.564,False,7708.4,4672.816571748995,4697.167763687606,1528.0110189619215,0.0,4819.408645204559,0.6252151737331431,0.43600000000000005,0.42333333333333334,0.8180448394598174,0.9212511679721416,0.574805235301826,True,4,4,4,4,False,False,0,True,0.12504303474662862
6336->2450,6336,2450,1,"(11105,)",0.06,1,0.06,127.0,0.564,False,1321.44,4759.9625389673065,783.6060924120417,298.8494880465234,0.0,807.5140514557636,0.6110864295433494,0.43600000000000005,0.42333333333333334,0.6421372690287327,0.9232653237608127,0.5222343797513678,True,4,4,4,4,False,False,0,True,0.12221728590866987
6916->2815,6916,2815,1,"(12249,)",0.19,1,0.19,127.0,0.564,False,4184.56,4642.75482354281,2490.2268744235844,824.1553062477566,0.0,2556.159298923405,0.6108549761321154,0.43600000000000005,0.42333333333333334,0.7555839512740747,0.9205476451983192,0.555996616568721,True,5,4,5,4,False,False,0,True,0.12217099522642308
