generation,focus_id,focus_nodes,children_generated,focus_evaluated,screened_out,full_screen_evaluated,high_fidelity_evaluated,new_best_count,stable_best_generations,best_served_total,best_served_ev,best_system_time_min,best_cost_usd,best_budget_remaining_usd,best_budget_utilization,best_station_count,best_road_count,best_hard_feasible,best_ev_completion_target,best_completion_shortfall,best_max_station_utilization,best_unstable_station_count,best_feasibility_violation,best_charging_entries_period,best_average_wait_min_per_charging_session,best_average_station_delay_min_per_charging_session,operator_weights_json
1,1392cdb628,301,10,10,2,3,2,2,0,1078515.3612064177,19712.551206417553,30653339.194749124,44999788.8,211.20000000298023,0.9999953066666666,3,3486,True,19712.0,0.0,0.8663408763031728,0,0.0,894.7923972548208,1.1401927747220935,75.07276759794193,"{""add_fix"": 1.9024999999999999, ""crossover_fix"": 1.0, ""mip_intensify"": 1.0, ""remove_fix"": 1.0, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.95, ""swap_fix"": 1.9024999999999999}"
2,1392cdb628,301,10,10,1,4,2,1,0,1078515.3612064177,19712.551206417553,30608703.231418718,44999568.56,431.4399999976158,0.9999904124444445,3,3564,True,19712.0,0.0,0.8679054034633371,0,0.0,896.6621367411532,1.278971017688491,75.28612722146957,"{""add_fix"": 2.8073749999999995, ""crossover_fix"": 0.95, ""mip_intensify"": 1.95, ""remove_fix"": 1.95, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.95, ""swap_fix"": 2.8073749999999995}"
3,1392cdb628,301,10,10,0,5,2,1,0,1078515.3612064177,19712.551206417553,30571366.242980573,44999788.8,211.20000000298023,0.9999953066666666,3,3586,True,19712.0,0.0,0.8684263999007377,0,0.0,896.5399053953889,1.192533938562299,75.08454375640704,"{""add_fix"": 4.4836559375, ""crossover_fix"": 0.95, ""mip_intensify"": 3.709875, ""remove_fix"": 2.8525, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.95, ""swap_fix"": 2.8073749999999995}"
4,1392cdb628,301,10,10,2,3,2,1,0,1078515.3612064177,19712.551206417553,30545877.63834017,44999568.56,431.4399999976158,0.9999904124444445,3,3616,True,19712.0,0.0,0.8742167194475621,0,0.0,896.5645618791111,1.2954483527678533,75.09896247384036,"{""add_fix"": 5.046499483593749, ""crossover_fix"": 0.95, ""mip_intensify"": 3.709875, ""remove_fix"": 3.5743812499999996, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.95, ""swap_fix"": 3.6670062499999996}"
5,1392cdb628,301,10,10,1,4,2,2,0,1078515.3612064177,19712.551206417553,30544903.424569383,44999788.8,211.20000000298023,0.9999953066666666,3,3635,True,19712.0,0.0,0.86988214354193,0,0.0,896.5969526364182,1.2841186277423908,75.18446723813385,"{""add_fix"": 6.96290537000888, ""crossover_fix"": 0.95, ""mip_intensify"": 4.524381249999999, ""remove_fix"": 3.5743812499999996, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.95, ""swap_fix"": 3.6670062499999996}"
6,1392cdb628,301,10,10,0,5,2,2,0,1078515.3612064177,19712.551206417553,30524878.23301516,44999788.8,211.20000000298023,0.9999953066666666,3,3689,True,19712.0,0.0,0.8664211910123853,0,0.0,896.852385891905,1.220720526062362,75.0310175009534,"{""add_fix"": 8.822320991611361, ""crossover_fix"": 0.95, ""mip_intensify"": 4.524381249999999, ""remove_fix"": 5.175879078124999, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.95, ""swap_fix"": 3.6670062499999996}"
7,1392cdb628,301,10,10,0,5,2,0,1,1078515.3612064177,19712.551206417553,30524878.23301516,44999788.8,211.20000000298023,0.9999953066666666,3,3689,True,19712.0,0.0,0.8664211910123853,0,0.0,896.852385891905,1.220720526062362,75.0310175009534,"{""add_fix"": 8.962144694929254, ""crossover_fix"": 0.95, ""mip_intensify"": 4.524381249999999, ""remove_fix"": 5.671230868007812, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.95, ""swap_fix"": 3.4836559374999996}"
8,1392cdb628,301,10,10,0,5,2,1,0,1078515.3612064177,19712.551206417553,30489228.826095454,44999788.8,211.20000000298023,0.9999953066666666,3,3741,True,19712.0,0.0,0.8744708099900393,0,0.0,896.9324366430615,1.2770045438323372,75.01215830729674,"{""add_fix"": 10.459117974053008, ""crossover_fix"": 0.95, ""mip_intensify"": 4.524381249999999, ""remove_fix"": 5.671230868007812, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.95, ""swap_fix"": 3.4836559374999996}"
9,1392cdb628,301,10,10,2,3,2,0,1,1078515.3612064177,19712.551206417553,30489228.826095454,44999788.8,211.20000000298023,0.9999953066666666,3,3741,True,19712.0,0.0,0.8744708099900393,0,0.0,896.9324366430615,1.2770045438323372,75.01215830729674,"{""add_fix"": 9.917386273003695, ""crossover_fix"": 0.95, ""mip_intensify"": 4.298162187499999, ""remove_fix"": 5.671230868007812, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.95, ""swap_fix"": 3.3094731406249993}"
10,8d1d0b7bd5,301,10,10,2,3,2,0,2,1078515.3612064177,19712.551206417553,30489228.826095454,44999788.8,211.20000000298023,0.9999953066666666,3,3741,True,19712.0,0.0,0.8744708099900393,0,0.0,896.9324366430615,1.2770045438323372,75.01215830729674,"{""add_fix"": 8.502919055816541, ""crossover_fix"": 0.95, ""mip_intensify"": 4.083254078124999, ""remove_fix"": 5.387669324607421, ""station_capacity_fix"": 1.0, ""station_prune_fix"": 1.95, ""swap_fix"": 3.3094731406249993}"
