rank_within_available_evaluations,mode,source,repair_cost_usd,budget_remaining_usd,repaired_station_count,repaired_stations,repaired_road_component_count,served_total,served_ev,served_non_ev,finite_system_time_min,physical_in_vehicle_time_min,physical_wait_vehicle_min,physical_service_vehicle_min,charging_entries_period,average_wait_min_per_charging_session,average_service_min_per_charging_session,average_station_delay_min_per_charging_session,unstable_station_entries,potential_total,potential_ev,ev_completion_target,ev_target_shortfall,ev_target_rate,ev_target_feasible,completion_shortfall,completion_rate,completion_feasible,queue_feasible,hard_feasible,feasibility_violation,max_station_utilization,station_utilization_violation,unstable_station_count,nonfinite_wait_station_count
1,focus_7ff9e74162,BIHMH gen 49 focus / station_prune_fix,44999810.32,189.67999999970198,2,C5;C7,3965,231152.17529894752,10247.35529894752,220904.82,5842594.974143167,5816917.415285295,0.5428265430510141,25677.01603132998,350.5895805725005,0.0015483248023646264,73.23952979264332,73.2410781174457,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.6854851790801029,0.0,0,0
2,focus_7ff9e74162,BIHMH gen 46 focus / mip_intensify,44999810.32,189.67999999970198,2,C5;C7,3969,231152.17529894752,10247.35529894752,220904.82,5842716.721479752,5817039.218382342,0.5428414334964788,25676.960255976588,350.58958057250044,0.0015483672749487818,73.23937070248071,73.24091906975566,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.6854859268040869,0.0,0,0
3,focus_7ff9e74162,BIHMH gen 44 focus / station_prune_fix,44999545.44,454.5600000023842,2,C4;C5,3845,231149.11041561002,10244.29041561002,220904.82,5856500.231080879,5830073.453135172,0.0030398957318763377,26426.7749058116,347.524697235,8.747279707205175e-06,76.04286865385433,76.04287740113404,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5525957846008044,0.0,0,0
4,focus_7ff9e74162,BIHMH gen 43 focus / station_prune_fix,44999765.68,234.32000000029802,2,C4;C5,3842,231149.11041561002,10244.29041561002,220904.82,5857188.458125416,5830757.704699414,0.003096701994025823,26430.750329300296,347.52469723500036,8.910739347919772e-06,76.0543079084463,76.05431681918566,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526094497023225,0.0,0,0
5,focus_7ff9e74162,BIHMH gen 45 focus / station_prune_fix,44999985.92,14.07999999821186,2,C4;C5,3845,231149.11041561002,10244.29041561002,220904.82,5857604.887453097,5831169.29699682,0.0033287899742709195,26435.58712748705,347.52469723500036,9.578570964180861e-06,76.06822576299085,76.06823534156182,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526117082737021,0.0,0,0
6,focus_7ff9e74162,BIHMH gen 43 focus / station_prune_fix,44999765.68,234.32000000029802,2,C4;C5,3845,231149.11041561002,10244.29041561002,220904.82,5860569.418087008,5834131.47601255,0.003435222869114433,26437.938639235224,347.5246972350007,9.884830909705075e-06,76.07499222237304,76.07500210720396,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526140555986304,0.0,0,0
7,focus_7ff9e74162,BIHMH gen 40 focus / station_prune_fix,44999765.68,234.32000000029802,2,C4;C5,3846,231149.11041561002,10244.29041561002,220904.82,5862174.062211718,5835745.458797084,0.002989312521994902,26428.600425321478,347.524697235,8.601726857914494e-06,76.0481215740767,76.04813017580356,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526127095798735,0.0,0,0
8,focus_7ff9e74162,BIHMH gen 45 focus / station_prune_fix,44999545.44,454.5600000023842,2,C4;C5,3850,231149.11041561002,10244.29041561002,220904.82,5862183.450725311,5835745.023466421,0.0034740920415350643,26438.423784798266,347.52469723500013,9.99667669427777e-06,76.07638822549727,76.07639822217396,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526147087389272,0.0,0,0
9,focus_7ff9e74162,BIHMH gen 40 focus / station_prune_fix,44999985.92,14.07999999821186,2,C4;C5,3844,231149.11041561002,10244.29041561002,220904.82,5862703.532649117,5836269.368473576,0.0032435712334408554,26434.160931968778,347.5246972350002,9.333354605435468e-06,76.06412189489282,76.06413122824743,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526149904545402,0.0,0,0
10,focus_7ff9e74162,BIHMH gen 41 focus / station_prune_fix,44999985.92,14.07999999821186,2,C4;C5,3849,231149.11041561002,10244.29041561002,220904.82,5863280.5975506175,5836846.504511146,0.003234002957341966,26434.089805468495,347.524697235,9.305821954734622e-06,76.06391722886237,76.06392653468431,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526148596749141,0.0,0,0
11,focus_7ff9e74162,BIHMH gen 48 focus / station_prune_fix,44999985.92,14.07999999821186,2,C4;C5,3840,231149.11041561002,10244.29041561002,220904.82,5863493.015300493,5837062.677908447,0.0030768734287288735,26430.33431517234,347.524697235,8.85368278343757e-06,76.05311083056597,76.05311968424876,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526115977149414,0.0,0,0
12,focus_7ff9e74162,BIHMH gen 44 focus / station_prune_fix,44999765.68,234.32000000029802,2,C4;C5,3842,231149.11041561002,10244.29041561002,220904.82,5863555.186188338,5837124.984444818,0.003064281449817248,26430.1986792388,347.5246972350003,8.817449448046406e-06,76.05272053907119,76.05272935652064,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.552612016273901,0.0,0,0
13,focus_7ff9e74162,BIHMH gen 46 focus / station_prune_fix,44999985.92,14.07999999821186,2,C4;C5,3845,231149.11041561002,10244.29041561002,220904.82,5864294.061751527,5837862.824055593,0.003106073117854337,26431.234589859934,347.52469723499973,8.937704694276674e-06,76.05570136497914,76.05571030268383,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526144216201921,0.0,0,0
14,focus_7ff9e74162,BIHMH gen 43 focus / station_prune_fix,44999985.92,14.07999999821186,2,C4;C5,3848,231149.11041561002,10244.29041561002,220904.82,5865646.0850261,5839213.080953698,0.003188494114830137,26433.00088390902,347.524697235,9.17487056372872e-06,76.06078386433276,76.06079303920333,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526123386085612,0.0,0,0
15,focus_7ff9e74162,BIHMH gen 41 focus / station_prune_fix,44999985.92,14.07999999821186,2,C4;C5,3849,231149.11041561002,10244.29041561002,220904.82,5865735.250231393,5839298.445577063,0.00337223223522315,26436.801282097575,347.52469723499996,9.703575780523046e-06,76.07171948479024,76.07172918836602,0.0,231205.24126120002,10300.4212612,10202.099279659587,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.5526150002668485,0.0,0,0
