soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1004,902,1.376936185,5,0,0,path_count_below_K;high_demand
0.1,1022,1013,1.3955909475,5,0,0,path_count_below_K;high_demand
0.1,1022,1029,1.2879702975,5,0,0,path_count_below_K;high_demand
0.1,1022,1059,1.9356608425,5,0,0,path_count_below_K;high_demand
0.1,1022,1569,1.62402705,5,0,0,path_count_below_K;high_demand
0.1,1071,1029,1.6470875575,5,0,0,path_count_below_K;high_demand
0.1,1071,1059,2.785935815,5,0,0,path_count_below_K;high_demand
0.1,1071,1328,2.012463055,5,0,0,path_count_below_K;high_demand
0.1,1071,1564,3.647193135,5,0,0,path_count_below_K;high_demand
0.1,1071,1571,1.7225693125,5,0,0,path_count_below_K;high_demand
0.1,1071,1585,1.773357335,5,0,0,path_count_below_K;high_demand
0.1,1071,1632,1.327636265,5,0,0,path_count_below_K;high_overlap;high_demand
0.1,1071,1633,2.4016242875,5,0,0,path_count_below_K;high_demand
0.1,1134,1142,1.4706574025,5,0,0,path_count_below_K;high_demand
0.1,1134,528,1.4152926625,5,0,0,path_count_below_K;high_demand
0.1,1142,528,1.3549478225,5,0,0,path_count_below_K;high_demand
0.1,1151,528,2.018167845,5,0,0,path_count_below_K;high_demand
0.1,1190,1252,1.31721389,5,0,0,path_count_below_K;high_demand
0.1,1190,1514,0.006375925,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1190,1521,0.0743502075,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1190,484,0.01714168,5,1,0,path_count_below_K;low_station_diversity
0.1,1190,504,0.0677475925,5,1,0,path_count_below_K;low_station_diversity
0.1,1190,516,0.0054652875,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1190,681,0.02499093,5,1,0,path_count_below_K;low_station_diversity
0.1,1190,707,0.060555015,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1190,717,1.956157955,5,0,0,path_count_below_K;high_demand
0.1,1190,726,2.3707883625,5,0,0,path_count_below_K;high_demand
0.1,1190,754,1.338421255,5,0,0,path_count_below_K;high_demand
0.1,1190,777,1.4287498325,5,0,0,path_count_below_K;high_demand
0.1,1224,1190,1.34746937,5,0,0,path_count_below_K;high_demand
0.1,1224,1225,1.999273995,5,0,0,path_count_below_K;high_demand
0.1,1224,1252,2.7619070375,5,0,0,path_count_below_K;high_demand
0.1,1224,1431,1.369259715,5,0,0,path_count_below_K;high_demand
