generation,focus_id,focus_nodes,children_generated,focus_evaluated,screened_out,full_screen_evaluated,high_fidelity_evaluated,new_best_count,stable_best_generations,best_served_total,best_served_ev,best_system_time_min,best_cost_usd,best_budget_remaining_usd,best_budget_utilization,best_station_count,best_road_count,best_hard_feasible,best_ev_completion_target,best_completion_shortfall,best_max_station_utilization,best_unstable_station_count,best_feasibility_violation,operator_weights_json
1,1392cdb628,301,10,10,5,0,0,0,1,1078515.3612064177,19712.55120641756,35831254.38989762,4999800.0,200.0,0.99996,3,177,True,19712.0,0.0,0.9678407723779067,0,0.0,"{""add_fix"": 0.8573749999999999, ""crossover_fix"": 1.0, ""mip_intensify"": 1.0, ""remove_fix"": 0.95, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.95}"
2,1392cdb628,301,10,10,5,0,0,0,2,1078515.3612064177,19712.55120641756,35831254.38989762,4999800.0,200.0,0.99996,3,177,True,19712.0,0.0,0.9678407723779067,0,0.0,"{""add_fix"": 0.8145062499999999, ""crossover_fix"": 1.0, ""mip_intensify"": 1.0, ""remove_fix"": 0.9025, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.8145062499999999}"
3,1392cdb628,301,10,10,5,0,0,0,3,1078515.3612064177,19712.55120641756,35831254.38989762,4999800.0,200.0,0.99996,3,177,True,19712.0,0.0,0.9678407723779067,0,0.0,"{""add_fix"": 0.8145062499999999, ""crossover_fix"": 1.0, ""mip_intensify"": 0.95, ""remove_fix"": 0.8145062499999999, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.7350918906249998}"
4,1392cdb628,301,10,10,4,1,1,0,4,1078515.3612064177,19712.55120641756,35831254.38989762,4999800.0,200.0,0.99996,3,177,True,19712.0,0.0,0.9678407723779067,0,0.0,"{""add_fix"": 1.6634204312890621, ""crossover_fix"": 1.0, ""mip_intensify"": 0.9025, ""remove_fix"": 0.8145062499999999, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.7350918906249998}"
5,1392cdb628,301,10,10,5,0,0,0,5,1078515.3612064177,19712.55120641756,35831254.38989762,4999800.0,200.0,0.99996,3,177,True,19712.0,0.0,0.9678407723779067,0,0.0,"{""add_fix"": 1.5012369392383784, ""crossover_fix"": 1.0, ""mip_intensify"": 0.8573749999999999, ""remove_fix"": 0.7737809374999999, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.6983372960937497}"
6,1392cdb628,301,10,10,5,0,0,0,6,1078515.3612064177,19712.55120641756,35831254.38989762,4999800.0,200.0,0.99996,3,177,True,19712.0,0.0,0.9678407723779067,0,0.0,"{""add_fix"": 1.5012369392383784, ""crossover_fix"": 0.95, ""mip_intensify"": 0.8573749999999999, ""remove_fix"": 0.6983372960937497, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.6302494097246091}"
7,1392cdb628,301,10,10,5,0,0,0,7,1078515.3612064177,19712.55120641756,35831254.38989762,4999800.0,200.0,0.99996,3,177,True,19712.0,0.0,0.9678407723779067,0,0.0,"{""add_fix"": 1.4261750922764593, ""crossover_fix"": 0.95, ""mip_intensify"": 0.8145062499999999, ""remove_fix"": 0.6634204312890623, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.5688000922764596}"
8,1392cdb628,301,10,10,5,0,0,0,8,1078515.3612064177,19712.55120641756,35831254.38989762,4999800.0,200.0,0.99996,3,177,True,19712.0,0.0,0.9678407723779067,0,0.0,"{""add_fix"": 1.2871230207795044, ""crossover_fix"": 0.9025, ""mip_intensify"": 0.8145062499999999, ""remove_fix"": 0.6634204312890623, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.5133420832795047}"
9,1392cdb628,301,10,10,5,0,0,0,9,1078515.3612064177,19712.55120641756,35831254.38989762,4999800.0,200.0,0.99996,3,177,True,19712.0,0.0,0.9678407723779067,0,0.0,"{""add_fix"": 1.2871230207795044, ""crossover_fix"": 0.9025, ""mip_intensify"": 0.8145062499999999, ""remove_fix"": 0.5403600876626365, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.48767497911552943}"
10,e0abbcfe9a,297,9,9,5,0,0,0,10,1078515.3612064177,19712.55120641756,35831254.38989762,4999800.0,200.0,0.99996,3,177,True,19712.0,0.0,0.9678407723779067,0,0.0,"{""add_fix"": 1.1616285262535027, ""crossover_fix"": 0.8573749999999999, ""mip_intensify"": 0.8145062499999999, ""remove_fix"": 0.5133420832795047, ""station_capacity_fix"": 1.0, ""swap_fix"": 0.46329123015975293}"
