rank_within_available_evaluations,mode,source,repair_cost_usd,budget_remaining_usd,repaired_station_count,repaired_stations,repaired_road_component_count,served_total,served_ev,served_non_ev,finite_system_time_min,physical_in_vehicle_time_min,physical_wait_vehicle_min,physical_service_vehicle_min,unstable_station_entries,potential_total,potential_ev,ev_completion_target,ev_target_shortfall,ev_target_rate,ev_target_feasible,completion_shortfall,completion_rate,completion_feasible,queue_feasible,hard_feasible,feasibility_violation,max_station_utilization,station_utilization_violation,unstable_station_count,nonfinite_wait_station_count
1,focus_4252f98217,BIHMH gen 72 focus / swap_fix,4999381.04,618.9599999999627,2,C5;C7,962,231741.67305118247,10017.323051182451,221724.35,6961349.867834137,6940298.165267346,200.57108694264053,20851.131479848642,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551004578094787,0.0,0,0
2,focus_4252f98217,BIHMH gen 73 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,968,231741.67305118247,10017.323051182451,221724.35,6962490.021541075,6941438.226420633,200.68668137086524,20851.108439071544,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551568397711884,0.0,0,0
3,focus_4252f98217,BIHMH gen 75 focus / swap_fix,4999601.28,398.71999999973923,2,C5;C7,971,231741.67305118247,10017.323051182451,221724.35,6962898.954109395,6941847.01759066,200.62747816045894,20851.30904057477,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551372186230191,0.0,0,0
4,focus_4252f98217,BIHMH gen 76 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,974,231741.67305118247,10017.323051182451,221724.35,6963265.0770707,6942213.41061734,200.56997398852954,20851.09647937094,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8550971059681147,0.0,0,0
5,focus_4252f98217,BIHMH gen 70 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,971,231741.67305118247,10017.323051182451,221724.35,6963585.404541661,6942533.472959708,200.61286524736119,20851.31871670455,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551319082602326,0.0,0,0
6,focus_4252f98217,BIHMH gen 75 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,968,231741.67305118247,10017.323051182451,221724.35,6963756.066670154,6942704.4143933095,200.1747059419863,20851.477570902323,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8549297276452813,0.0,0,0
7,focus_4252f98217,BIHMH gen 76 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,967,231741.67305118247,10017.323051182451,221724.35,6963960.154849977,6942908.551359255,200.62720521039668,20850.976285511806,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551160653509896,0.0,0,0
8,focus_4252f98217,BIHMH gen 75 focus / remove_fix,4999381.04,618.9599999999627,2,C5;C7,970,231741.67305118247,10017.323051182451,221724.35,6964332.179047491,6943280.350458354,200.09742716912805,20851.73116196904,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8549123532532563,0.0,0,0
9,focus_4252f98217,BIHMH gen 77 focus / remove_fix,4999601.28,398.71999999973923,2,C5;C7,968,231741.67305118247,10017.323051182451,221724.35,6964596.540913826,6943544.683502785,200.52360349860783,20851.33380754153,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8550926124392245,0.0,0,0
10,focus_4252f98217,BIHMH gen 72 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,973,231741.67305118247,10017.323051182451,221724.35,6965106.110324974,6944054.171635945,200.30545123140098,20851.633237797887,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8550071072932709,0.0,0,0
11,focus_4252f98217,BIHMH gen 76 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,971,231741.67305118247,10017.323051182451,221724.35,6965229.013799513,6944176.845349562,200.52463297211546,20851.643816979027,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551177645194566,0.0,0,0
12,focus_4252f98217,BIHMH gen 70 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,980,231741.67305118247,10017.323051182451,221724.35,6966352.444483127,6945300.390035271,200.62856663601482,20851.42588122055,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551514884454462,0.0,0,0
13,focus_4252f98217,BIHMH gen 75 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,967,231741.67305118247,10017.323051182451,221724.35,6966644.462216395,6945592.427769372,200.47872266377462,20851.555724359303,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8550880790238801,0.0,0,0
14,focus_4252f98217,BIHMH gen 76 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,971,231741.67305118247,10017.323051182451,221724.35,6966716.440222949,6945664.785763683,200.37148282661906,20851.28297643967,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.855014170439823,0.0,0,0
15,focus_4252f98217,BIHMH gen 78 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,978,231741.67305118247,10017.323051182451,221724.35,6967610.317410639,6946558.291999776,200.21894081121204,20851.806470051648,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8549781281716746,0.0,0,0
16,focus_4252f98217,BIHMH gen 77 focus / swap_fix,4999601.28,398.71999999973923,2,C5;C7,971,231741.67305118247,10017.323051182451,221724.35,6967756.78487533,6946705.10331226,199.9456037868249,20851.73595928264,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8548340898327548,0.0,0,0
17,focus_4252f98217,BIHMH gen 76 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,970,231741.67305118247,10017.323051182451,221724.35,6968192.025668583,6947140.317050281,200.16565081392955,20851.54296748852,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8549294812214885,0.0,0,0
18,focus_4252f98217,BIHMH gen 74 focus / swap_fix,4999601.28,398.71999999973923,2,C5;C7,979,231741.67305118247,10017.323051182451,221724.35,6968250.648986021,6947198.86988806,199.7918836349916,20851.987214325847,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.854776957395684,0.0,0,0
19,focus_4252f98217,BIHMH gen 74 focus / swap_fix,4999381.04,618.9599999999627,2,C5;C7,971,231741.67305118247,10017.323051182451,221724.35,6968252.333988377,6947200.32918084,200.70734859743638,20851.29745893899,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551792719813583,0.0,0,0
20,focus_4252f98217,BIHMH gen 75 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,975,231741.67305118247,10017.323051182451,221724.35,6968262.359922472,6947210.58027016,200.573961281857,20851.205691030646,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551080588441664,0.0,0,0
21,focus_4252f98217,BIHMH gen 78 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,979,231741.67305118247,10017.323051182451,221724.35,6969232.208931512,6948180.065924619,200.78093477633217,20851.362072116437,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8552212876752027,0.0,0,0
22,focus_4252f98217,BIHMH gen 72 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,976,231741.67305118247,10017.323051182451,221724.35,6969830.735476582,6948778.878353853,200.84467972239773,20851.012443007374,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8552255281099863,0.0,0,0
23,focus_4252f98217,BIHMH gen 71 focus / remove_fix,4999381.04,618.9599999999627,2,C5;C7,974,231741.67305118247,10017.323051182451,221724.35,6969989.648234471,6948937.757734335,200.48055989465584,20851.409940241123,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8550772555716714,0.0,0,0
24,focus_4252f98217,BIHMH gen 74 focus / swap_fix,4999381.04,618.9599999999627,2,C5;C7,973,231741.67305118247,10017.323051182451,221724.35,6970524.248219779,6949472.175887683,200.25067427427499,20851.821657821394,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8549950536048353,0.0,0,0
25,focus_4252f98217,BIHMH gen 78 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,979,231741.67305118247,10017.323051182451,221724.35,6970611.848715544,6949559.905349359,200.4671594779902,20851.476206706506,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.855075437238398,0.0,0,0
26,focus_4252f98217,BIHMH gen 74 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,969,231741.67305118247,10017.323051182451,221724.35,6970973.147699131,6949921.452272728,200.11255823391417,20851.58286816896,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8549071732122829,0.0,0,0
27,focus_4252f98217,BIHMH gen 77 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,975,231741.67305118247,10017.323051182451,221724.35,6971057.97000407,6950005.849657031,200.4977241713406,20851.622622866857,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551016515485708,0.0,0,0
28,focus_4252f98217,BIHMH gen 79 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,974,231741.67305118247,10017.323051182451,221724.35,6971177.22627028,6950125.069435654,200.32833465004262,20851.82849997592,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8550297564224083,0.0,0,0
29,focus_4252f98217,BIHMH gen 70 focus / swap_fix,4999381.04,618.9599999999627,2,C5;C7,972,231741.67305118247,10017.323051182451,221724.35,6971786.646615196,6950734.697026094,200.19930471895458,20851.75028438334,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8549635812723794,0.0,0,0
30,focus_4252f98217,BIHMH gen 72 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,975,231741.67305118247,10017.323051182451,221724.35,6972910.240319859,6951858.460819472,200.64165711996128,20851.13784326805,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8551359817757817,0.0,0,0
31,focus_4252f98217,BIHMH gen 70 focus / swap_fix,4999381.04,618.9599999999627,2,C5;C7,975,231741.67305118247,10017.323051182451,221724.35,6973135.018223136,6952083.408403486,200.10177578323868,20851.508043866637,0.0,231793.45337764,10069.10337764,9972.989425470487,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8548950208330692,0.0,0,0
32,focus_e0abbcfe9a,BIHMH gen 19 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,963,233415.88529642497,9879.695296424967,223536.19,6978835.650132703,6960216.342952367,36.20447134369105,18583.102708991395,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7926341504221526,0.0,0,0
33,focus_e0abbcfe9a,BIHMH gen 10 focus / remove_fix,4999601.28,398.71999999973923,2,C5;C7,966,233415.88529642497,9879.695296424967,223536.19,6979049.658228943,6960430.055421831,36.13098476408032,18583.47182234825,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7925246661737249,0.0,0,0
34,focus_e0abbcfe9a,BIHMH gen 16 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,971,233415.88529642497,9879.695296424967,223536.19,6980326.598427954,6961706.970726409,36.013468879195365,18583.61423266588,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7923294880911472,0.0,0,0
35,focus_e0abbcfe9a,BIHMH gen 19 focus / swap_fix,4999601.28,398.71999999973923,2,C5;C7,968,233415.88529642497,9879.695296424967,223536.19,6981815.95946778,6963196.294225416,35.96944688466879,18583.695795479605,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7922572897973307,0.0,0,0
36,focus_e0abbcfe9a,BIHMH gen 16 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,966,233415.88529642497,9879.695296424967,223536.19,6982771.914131655,6964152.2261304,36.09223454461757,18583.59576671087,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7924635313839582,0.0,0,0
37,focus_e0abbcfe9a,BIHMH gen 19 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,967,233415.88529642497,9879.695296424967,223536.19,6984427.705135085,6965808.353696706,36.16093371931606,18583.19050465976,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7925641635249567,0.0,0,0
38,focus_e0abbcfe9a,BIHMH gen 15 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,969,233415.88529642497,9879.695296424967,223536.19,6985505.059462364,6966886.018559843,36.17541704475786,18582.865485475097,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7925759983992442,0.0,0,0
39,focus_e0abbcfe9a,BIHMH gen 16 focus / swap_fix,4999381.04,618.9599999999627,2,C5;C7,966,233415.88529642497,9879.695296424967,223536.19,6985913.386241083,6967293.803732416,36.015485714701335,18583.56702295264,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7923311242835868,0.0,0,0
40,focus_e0abbcfe9a,BIHMH gen 17 focus / remove_fix,4999381.04,618.9599999999627,2,C5;C7,972,233415.88529642497,9879.695296424967,223536.19,6987078.6914775595,6968459.246183431,36.101440410419855,18583.343853718394,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7924696320870505,0.0,0,0
41,focus_e0abbcfe9a,BIHMH gen 18 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,977,233415.88529642497,9879.695296424967,223536.19,6987372.162747592,6968752.717134107,36.09303897647647,18583.352574508855,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7924552740370856,0.0,0,0
42,focus_e0abbcfe9a,BIHMH gen 18 focus / swap_fix,4999381.04,618.9599999999627,2,C5;C7,966,233415.88529642497,9879.695296424967,223536.19,6988198.324979028,6969578.775596304,36.068028854706526,18583.481353868323,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7924178494267583,0.0,0,0
43,focus_e0abbcfe9a,BIHMH gen 13 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,966,233415.88529642497,9879.695296424967,223536.19,6989694.130459484,6971074.379228295,35.97635936827313,18583.774871820875,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7922724534262066,0.0,0,0
44,focus_e0abbcfe9a,BIHMH gen 15 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,969,233415.88529642497,9879.695296424967,223536.19,6990299.116770219,6971679.545877546,36.05449755972495,18583.516395113234,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7923960804431859,0.0,0,0
45,focus_e0abbcfe9a,BIHMH gen 19 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,967,233415.88529642497,9879.695296424967,223536.19,6990339.504374302,6971719.954481038,36.04757195592288,18583.502321307205,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7923838671454168,0.0,0,0
46,focus_e0abbcfe9a,BIHMH gen 14 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,974,233415.88529642497,9879.695296424967,223536.19,6991681.544324303,6973062.373603804,36.09162554022003,18583.079094958477,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7924428308190004,0.0,0,0
47,focus_e0abbcfe9a,BIHMH gen 15 focus / remove_fix,4999601.28,398.71999999973923,2,C5;C7,971,233415.88529642497,9879.695296424967,223536.19,6992415.752842007,6973796.164437264,36.03984178338331,18583.54856295967,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7923724623506294,0.0,0,0
48,focus_e0abbcfe9a,BIHMH gen 14 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,970,233415.88529642497,9879.695296424967,223536.19,6992988.616377644,6974369.612971129,36.199204331056194,18582.804202184514,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7926136974076432,0.0,0,0
49,focus_e0abbcfe9a,BIHMH gen 14 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,969,233415.88529642497,9879.695296424967,223536.19,6996535.5927983085,6977916.15709263,36.11044830078982,18583.32525737799,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7924838223518886,0.0,0,0
50,focus_e0abbcfe9a,BIHMH gen 11 focus / swap_fix,4999601.28,398.71999999973923,2,C5;C7,970,233415.88529642497,9879.695296424967,223536.19,7003035.199706056,6984415.807824019,36.13287646303256,18583.259005573855,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7925191072679237,0.0,0,0
51,focus_e0abbcfe9a,BIHMH gen 10 focus / swap_fix,4999539.68,460.320000000298,3,C2;C5;C7,938,233415.88529642497,9879.695296424967,223536.19,7008695.052820812,6990077.487101945,36.30021702429762,18581.265501842685,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7927235123961174,0.0,0,0
52,focus_e0abbcfe9a,BIHMH gen 16 focus / swap_fix,4999539.68,460.320000000298,3,C2;C5;C7,941,233415.88529642497,9879.695296424967,223536.19,7014271.624605128,6995653.803518053,36.23036321474837,18581.590723859954,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.792618142045604,0.0,0,0
53,focus_e0abbcfe9a,BIHMH gen 11 focus / remove_fix,4999539.68,460.320000000298,3,C2;C5;C7,937,233415.88529642497,9879.695296424967,223536.19,7014861.354567151,6996243.790582869,36.18358192832372,18581.38040235247,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.792530673489511,0.0,0,0
54,focus_34131532b6,BIHMH gen 53 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,970,236414.49598805996,10101.615988059973,226312.88,7019302.944166897,7000549.491767539,25.18477951247347,18728.2676198451,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7837517452891046,0.0,0,0
55,focus_34131532b6,BIHMH gen 50 focus / swap_fix,4999601.28,398.71999999973923,2,C5;C7,965,236414.49598805996,10101.615988059973,226312.88,7020543.4612266645,7001790.159940524,25.207147036432417,18728.094139103505,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7837841309491859,0.0,0,0
56,focus_34131532b6,BIHMH gen 59 focus / remove_fix,4999601.28,398.71999999973923,2,C5;C7,974,236414.49598805996,10101.615988059973,226312.88,7020747.517825264,7001994.15822605,25.17880176700167,18728.180797446723,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7837428757991537,0.0,0,0
57,focus_34131532b6,BIHMH gen 56 focus / remove_fix,4999601.28,398.71999999973923,2,C5;C7,970,236414.49598805996,10101.615988059973,226312.88,7022665.36117585,7003912.072316445,25.216958478853137,18728.07190092578,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7837984214465695,0.0,0,0
58,focus_34131532b6,BIHMH gen 55 focus / remove_fix,4999821.52,178.48000000044703,2,C5;C7,973,236414.49598805996,10101.615988059973,226312.88,7023825.489419903,7005071.842618417,25.233670830482733,18728.413130654506,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.783823576032467,0.0,0,0
59,focus_34131532b6,BIHMH gen 51 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,977,236414.49598805996,10101.615988059973,226312.88,7025038.536512111,7006285.281559538,25.22779489104841,18728.02715768218,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7838141369094731,0.0,0,0
60,focus_34131532b6,BIHMH gen 55 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,974,236414.49598805996,10101.615988059973,226312.88,7025227.333008908,7006473.487819059,25.090190423127403,18728.754999426186,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7836143614285305,0.0,0,0
61,focus_34131532b6,BIHMH gen 51 focus / swap_fix,4999381.04,618.9599999999627,2,C5;C7,967,236414.49598805996,10101.615988059973,226312.88,7025787.649502793,7007034.271313687,25.219639324446977,18728.158549782023,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7838025764420473,0.0,0,0
62,focus_34131532b6,BIHMH gen 58 focus / swap_fix,4999601.28,398.71999999973923,2,C5;C7,967,236414.49598805996,10101.615988059973,226312.88,7025936.527294046,7007183.069673603,25.126228263039625,18728.3313921798,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7836662231273903,0.0,0,0
63,focus_34131532b6,BIHMH gen 59 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,972,236414.49598805996,10101.615988059973,226312.88,7026266.027403318,7007512.5423113005,25.112313063402265,18728.372778953977,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7836458891982263,0.0,0,0
64,focus_34131532b6,BIHMH gen 56 focus / remove_fix,4999601.28,398.71999999973923,2,C5;C7,977,236414.49598805996,10101.615988059973,226312.88,7026965.419946282,7008212.20908002,25.247322544216274,18727.96354371785,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7838424959831765,0.0,0,0
65,focus_34131532b6,BIHMH gen 51 focus / swap_fix,4999381.04,618.9599999999627,2,C5;C7,980,236414.49598805996,10101.615988059973,226312.88,7027957.3214183375,7009203.858914431,25.22328672749091,18728.239217178998,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7838080838665906,0.0,0,0
66,focus_34131532b6,BIHMH gen 59 focus / swap_fix,4999381.04,618.9599999999627,2,C5;C7,972,236414.49598805996,10101.615988059973,226312.88,7028038.784157999,7009285.265628977,25.083518909408774,18728.4350101124,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7836037489337,0.0,0,0
67,focus_34131532b6,BIHMH gen 57 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,978,236414.49598805996,10101.615988059973,226312.88,7029131.555779476,7010378.171674198,25.22909162923118,18728.15501364898,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7838162517498023,0.0,0,0
68,focus_34131532b6,BIHMH gen 50 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,966,236414.49598805996,10101.615988059973,226312.88,7029695.412557893,7010942.271362789,25.146226515481338,18727.994968589617,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.783694678247349,0.0,0,0
69,focus_34131532b6,BIHMH gen 58 focus / swap_fix,4999821.52,178.48000000044703,2,C5;C7,971,236414.49598805996,10101.615988059973,226312.88,7029802.040960793,7011048.667837186,25.172617650421593,18728.200505956665,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7837337609576048,0.0,0,0
70,focus_34131532b6,BIHMH gen 59 focus / swap_fix,4999601.28,398.71999999973923,2,C5;C7,972,236414.49598805996,10101.615988059973,226312.88,7030935.699742792,7012182.549293034,25.2548590593622,18727.89559069941,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7838533423894047,0.0,0,0
71,focus_e0abbcfe9a,BIHMH gen 12 focus / swap_fix,4999949.359999999,50.64000000059605,3,C1;C5;C7,925,233415.88529642497,9879.695296424967,223536.19,7031068.704620188,7012422.07766016,36.15107846934879,18610.475881559156,0.0,233459.63164342,9923.44164342,9828.718095582499,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7924350241304221,0.0,0,0
72,focus_34131532b6,BIHMH gen 55 focus / remove_fix,4999601.28,398.71999999973923,2,C5;C7,969,236414.49598805996,10101.615988059973,226312.88,7031952.17297636,7013198.621788479,25.219551861371322,18728.331636019313,0.0,236461.27039319,10148.39039319,10051.519612121783,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.7838028644605152,0.0,0,0
