soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1004,902,1.376936185,5,0,0,path_count_below_K;high_demand
0.1,1022,1013,1.3955909475,5,0,0,path_count_below_K;high_demand
0.1,1022,1029,1.2879702975,5,0,0,path_count_below_K;high_demand
0.1,1022,1059,1.9356608425,5,0,0,path_count_below_K;high_demand
0.1,1022,1569,1.62402705,5,0,0,path_count_below_K;high_demand
0.1,1059,1071,2.256484925,5,0,0,path_count_below_K;high_demand
0.1,1071,1013,1.161896295,5,0,0,path_count_below_K
0.1,1071,1029,1.6470875575,5,0,0,path_count_below_K;high_demand
0.1,1071,1059,2.785935815,5,0,0,path_count_below_K;high_demand
0.1,1071,1328,2.012463055,5,0,0,path_count_below_K;high_demand
0.1,1071,1338,3.0454614775,5,0,0,path_count_below_K;high_demand
0.1,1071,1564,3.647193135,5,0,0,path_count_below_K;high_demand
0.1,1071,1569,2.4775589775,5,0,0,path_count_below_K;high_demand
0.1,1071,1571,1.7225693125,5,0,0,path_count_below_K;high_demand
0.1,1071,1585,1.773357335,5,0,0,path_count_below_K;high_demand
0.1,1071,1632,1.327636265,5,0,0,path_count_below_K;high_overlap;high_demand
0.1,1071,1633,2.4016242875,5,0,0,path_count_below_K;high_demand
0.1,1134,1142,1.4706574025,5,0,0,path_count_below_K;high_demand
0.1,1134,528,1.4152926625,5,0,0,path_count_below_K;high_demand
0.1,1142,528,1.3549478225,5,0,0,path_count_below_K;high_demand
0.1,1151,528,2.018167845,5,0,0,path_count_below_K;high_demand
0.1,1189,1528,0.0115512,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1189,681,0.0104008875,5,1,0,path_count_below_K;low_station_diversity
0.1,1190,1252,1.31721389,5,0,0,path_count_below_K;high_demand
0.1,1190,1528,0.0229695425,5,1,0,path_count_below_K;low_station_diversity
0.1,1190,172,0.136280955,5,1,0,path_count_below_K;low_station_diversity
0.1,1190,681,0.02499093,5,1,0,path_count_below_K;low_station_diversity
0.1,1190,699,0.01213716,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1190,706,0.0481114375,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1190,707,0.060555015,5,1,0,path_count_below_K;low_station_diversity
0.1,1190,711,0.0232373025,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1190,717,1.956157955,5,0,0,path_count_below_K;high_demand
0.1,1190,726,2.3707883625,5,0,0,path_count_below_K;high_demand
