roads,road_count,cost_usd,total_impact,continuity_score,boundary_end_count,source
1952->1954;1954->12593;12593->12594,3,22464.48,26528.686784433892,1.8894672324974462,0,upstream corridor extension
1954->12593;12593->12594;12594->12589,3,26869.28,28347.079996636137,1.6879993805050906,0,two-sided corridor completion
12593->12594;12594->12589;12589->10882,3,31494.32,28309.384420919625,1.4381963183669755,0,upstream corridor extension
12594->12593;12593->1954;1954->1952,3,22464.48,19480.983596324295,1.3875047966442524,0,downstream corridor extension
6386->2426;2426->6377;6377->6376,3,19821.600000000002,16072.403526277061,1.2973647759032216,0,downstream corridor extension
8756->10347;10347->6386;6386->2426,3,16958.48,13713.598831249474,1.2938516972039453,0,upstream corridor extension
10347->6386;6386->2426;2426->6377,3,16958.48,12900.969872219632,1.2171817164953116,0,two-sided corridor completion
2894->12641;12641->1909;1909->2454,3,38982.479999999996,27978.632160073514,1.14835719677449,0,two-sided corridor completion
6374->6377;6377->2425;2425->6379,3,22024.0,15619.972650223035,1.1347600908262285,0,upstream corridor extension
6286->6285;6285->4428;4428->6282,3,16077.52,11357.255798270118,1.1302495208982597,0,downstream corridor extension
12593->12594;12594->12589;12589->2061,3,40083.68,28269.8279292786,1.1284324365139569,0,downstream corridor extension
5930->5921;5921->10573;10573->5896,3,23345.44,16318.988992744162,1.1184360795251946,0,upstream corridor extension
6377->2425;2425->6379;6379->6759,3,12113.2,8229.41735602613,1.0870015990524227,0,upstream corridor extension
10905->2894;2894->12641;12641->1909,3,43387.28,29442.997150027404,1.0857743430803648,0,upstream corridor extension
2425->6379;6379->6386;6386->2426,3,21803.760000000002,14478.79631778301,1.0624806963777265,0,downstream corridor extension
2812->6916;6916->2815;2815->2817,3,6386.960000000001,4189.916138657877,1.0496176305867897,0,two-sided corridor completion
10585->6286;6286->6285;6285->4428,3,22024.0,14036.749776051745,1.0197420832583906,0,upstream corridor extension
5926->5930;5930->5921;5921->10573,3,18279.92,11016.93895353392,0.9642877171045756,0,two-sided corridor completion
9624->10629;10629->10623;10623->10889,3,43387.28,25732.755779962947,0.9489511499209149,0,upstream corridor extension
10343->6374;6374->6377;6377->6376,3,36339.6,21494.73620350059,0.9463939593611639,0,two-sided corridor completion
6133->8648;8648->4434;4434->6130,3,23125.2,13442.772033560934,0.9300864534662401,0,upstream corridor extension
12589->12594;12594->12593;12593->1954,3,26869.28,15428.166958686947,0.9187096615130408,0,downstream corridor extension
6138->6133;6133->8648;8648->4434,3,22024.0,12431.24180256357,0.9031051073420683,0,upstream corridor extension
6375->6374;6374->6377;6377->6376,3,36339.6,20162.657393924354,0.8877437239341921,0,downstream corridor extension
10573->5896;5896->5884;5884->10566,3,27530.0,15246.492942122952,0.8861020235160452,0,downstream corridor extension
8399->6186;6186->10577;10577->6145,3,25988.32,14276.321476488481,0.8789377059533502,0,downstream corridor extension
10894->12594;12594->12593;12593->1954,3,31274.08,17131.988972560775,0.8764824530760693,0,two-sided corridor completion
5921->10573;10573->5896;5896->5884,3,22024.0,11987.748711464628,0.8708862122386217,0,two-sided corridor completion
10835->6130;6130->4434;4434->8648,3,29732.4,16041.334538020415,0.8632379243126241,0,two-sided corridor completion
10549->5020;5020->5019;5019->5017,3,19381.12,10448.333346136971,0.8625576516640502,0,upstream corridor extension
6916->2815;2815->2817;2817->2818,3,7267.92,3902.5510846902544,0.8591291229821473,0,downstream corridor extension
10629->10623;10623->10889;10889->1952,3,53298.08,28470.231055783865,0.8546718697794402,0,upstream corridor extension
4332->2812;2812->6916;6916->2815,3,6827.4400000000005,3631.46339482765,0.8510278276666275,0,upstream corridor extension
10577->6145;6145->10576;10576->8649,3,35238.4,18519.926518768378,0.8408974990359779,0,downstream corridor extension
6285->4428;4428->6286;6286->10585,3,27530.0,14331.059324395768,0.8328984714505352,0,downstream corridor extension
2425->6379;6379->6759;6759->6761,3,19381.120000000003,9961.395419806646,0.822358701235565,0,two-sided corridor completion
6377->2425;2425->6379;6379->6386,3,14315.6,7352.575609578341,0.8217693268410229,0,two-sided corridor completion
10898->1910;1910->1909;1909->12641,3,40964.64,20851.222279862373,0.8144086130814234,0,upstream corridor extension
