prescreen_signature,subset_index,repaired_station_count,repaired_stations,operational_stations,station_repair_cost_usd,road_budget_remaining_usd,evaluation_mode,evaluation_complete,served_total,served_ev,served_non_ev,ev_completion_target,ev_target_shortfall,ev_target_feasible,queue_feasible,hard_feasible,max_station_utilization,unstable_station_count,nonfinite_wait_station_count,finite_system_time_min,direct_ev_demand,energy_reachable_ev,max_stable_served_ev,structurally_unreachable_ev,charging_capacity_shortfall_ev,station_entries_3hr_json,station_strict_capacities_3hr_json,selected_for_warmstart,warmstart_selection_reason
975b95bc64c1d316,1,0,,C3;C8;C9,0.0,5000000.0,flood_range_capacity_maxflow_oracle,1,1077926.8118869655,19124.001886965398,1058802.81,19712.0,587.9981130346023,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19124.001886965398,203.9470770950029,574.0239863095992,"{""C3"": 129.15081424528302, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C3"": 129.15081424528302, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,2,1,C1,C1;C3;C8;C9,360000.0,4640000.0,flood_range_capacity_maxflow_oracle,1,1077976.081910688,19173.271910688025,1058802.81,19712.0,538.728089311975,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19173.271910688025,203.9470770950029,524.7539625869715,"{""C1"": 49.27002372262774, ""C3"": 129.15081424528302, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C1"": 49.27002372262774, ""C3"": 129.15081424528302, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,3,1,C2,C2;C3;C8;C9,240000.0,4760000.0,flood_range_capacity_maxflow_oracle,1,1077956.8118569655,19154.0018569654,1058802.81,19712.0,557.9981430346015,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19154.0018569654,203.9470770950029,544.0240163095992,"{""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,4,1,C4,C3;C4;C8;C9,1800000.0,3200000.0,flood_range_capacity_maxflow_oracle,1,1078278.191025435,19475.381025434945,1058802.81,19712.0,236.6189745650554,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19475.381025434945,203.9470770950029,222.6448478400522,"{""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,5,1,C5,C3;C5;C8;C9,780000.0,4220000.0,flood_range_capacity_maxflow_oracle,1,1078190.3251369654,19387.515136965398,1058802.81,19712.0,324.4848630346023,0,0,0,0.999999,0,0,,18811.481133692498,19706.147146324998,19387.515136965398,195.82580404500186,318.632009359599,"{""C3"": 129.15081424528302, ""C5"": 263.51325, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C3"": 129.15081424528302, ""C5"": 263.51325, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,6,1,C6,C3;C6;C8;C9,7584000.0,-2584000.0,flood_range_capacity_maxflow_oracle,1,1078353.5882675578,19550.77826755778,1058802.81,19712.0,161.22173244221995,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19550.77826755778,203.9470770950029,147.24760571721708,"{""C3"": 129.15081424528302, ""C6"": 579.4416149775, ""C8"": 15.308011602500002, ""C9"": 15.396693040000017}","{""C3"": 129.15081424528302, ""C6"": 1007.0348783326328, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,7,1,C7,C3;C7;C8;C9,768000.0,4232000.0,flood_range_capacity_maxflow_oracle,1,1078050.433493726,19247.62349372596,1058802.81,19712.0,464.37650627403855,0,0,0,0.999999,0,0,,18811.481133692498,19712.551206417498,19247.62349372596,189.42174395250186,464.92771269153565,"{""C3"": 129.15081424528302, ""C7"": 123.62160676056338, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C3"": 129.15081424528302, ""C7"": 123.62160676056338, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,8,2,C1;C2,C1;C2;C3;C8;C9,600000.0,4400000.0,flood_range_capacity_maxflow_oracle,1,1078006.081880688,19203.271880688026,1058802.81,19712.0,508.7281193119743,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19203.271880688026,203.9470770950029,494.7539925869715,"{""C1"": 49.27002372262774, ""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C1"": 49.27002372262774, ""C2"": 29.999969999999998, ""C3"": 129.15081424528302, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,9,2,C1;C4,C1;C3;C4;C8;C9,2160000.0,2840000.0,flood_range_capacity_maxflow_oracle,1,1078327.4610491577,19524.651049157572,1058802.81,19712.0,187.34895084242817,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19524.651049157572,203.9470770950029,173.3748241174245,"{""C1"": 49.27002372262774, ""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C1"": 49.27002372262774, ""C3"": 129.15081424528302, ""C4"": 351.37913846954706, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,10,2,C1;C5,C1;C3;C5;C8;C9,1140000.0,3860000.0,flood_range_capacity_maxflow_oracle,1,1078239.595160688,19436.785160688025,1058802.81,19712.0,275.2148393119751,0,0,0,0.999999,0,0,,18811.481133692498,19706.147146324998,19436.785160688025,195.82580404500186,269.3619856369713,"{""C1"": 49.27002372262774, ""C3"": 129.15081424528302, ""C5"": 263.51325, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}","{""C1"": 49.27002372262774, ""C3"": 129.15081424528302, ""C5"": 263.51325, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
975b95bc64c1d316,11,2,C1;C6,C1;C3;C6;C8;C9,7944000.0,-2944000.0,flood_range_capacity_maxflow_oracle,1,1078402.8582912805,19600.048291280407,1058802.81,19712.0,111.95170871959272,0,0,0,0.999999,0,0,,18811.481133692498,19698.025873274997,19600.048291280407,203.9470770950029,97.9775819945894,"{""C1"": 49.27002372262774, ""C3"": 129.15081424528302, ""C6"": 579.4416149775, ""C8"": 15.308011602500002, ""C9"": 15.396693040000017}","{""C1"": 49.27002372262774, ""C3"": 129.15081424528302, ""C6"": 1007.0348783326328, ""C8"": 79.11384493670884, ""C9"": 104.25609409090907}",0,
