init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type,edge_type,station_group,source_init_node,source_term_node,init_depth_mm,term_depth_mm,edge_depth_mm,charging_related,flood_affected,retain_in_flood_network
1,10293,100000.0,0.45,0.0,0.15,4,25.0,0.0,3,road_original,,1,10293,127.0,127.0,127.0,False,True,True
2,10294,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,2,10294,127.0,127.0,127.0,False,True,True
3,10295,100000.0,0.39,0.0,0.15,4,25.0,0.0,3,road_original,,3,10295,127.0,127.0,127.0,False,True,True
4,10296,100000.0,0.58,0.0,0.15,4,25.0,0.0,3,road_original,,4,10296,127.0,127.0,127.0,False,True,True
5,10297,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,5,10297,127.0,127.0,127.0,False,True,True
6,10298,100000.0,0.58,0.0,0.15,4,25.0,0.0,3,road_original,,6,10298,127.0,127.0,127.0,False,True,True
7,10299,100000.0,0.45,0.0,0.15,4,25.0,0.0,3,road_original,,7,10299,127.0,127.0,127.0,False,True,True
8,10300,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,8,10300,127.0,127.0,127.0,False,True,True
9,10301,100000.0,0.44,0.0,0.15,4,25.0,0.0,3,road_original,,9,10301,127.0,127.0,127.0,False,True,True
10,10302,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,10,10302,127.0,127.0,127.0,False,True,True
11,10303,100000.0,0.45,0.0,0.15,4,25.0,0.0,3,road_original,,11,10303,127.0,127.0,127.0,False,True,True
12,10304,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,12,10304,88.9,88.9,88.9,False,True,True
13,10305,100000.0,0.44,0.0,0.15,4,25.0,0.0,3,road_original,,13,10305,88.9,88.9,88.9,False,True,True
14,10306,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,14,10306,88.9,88.9,88.9,False,True,True
15,10307,100000.0,0.44,0.0,0.15,4,25.0,0.0,3,road_original,,15,10307,88.9,88.9,88.9,False,True,True
16,10308,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,16,10308,88.9,88.9,88.9,False,True,True
17,10309,100000.0,0.44,0.0,0.15,4,25.0,0.0,3,road_original,,17,10309,88.9,88.9,88.9,False,True,True
18,10310,100000.0,0.51,0.0,0.15,4,25.0,0.0,3,road_original,,18,10310,88.9,88.9,88.9,False,True,True
19,10311,100000.0,0.43,0.0,0.15,4,25.0,0.0,3,road_original,,19,10311,88.9,88.9,88.9,False,True,True
20,10312,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,20,10312,88.9,88.9,88.9,False,True,True
21,10313,100000.0,0.43,0.0,0.15,4,25.0,0.0,3,road_original,,21,10313,88.9,88.9,88.9,False,True,True
22,10314,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,22,10314,88.9,88.9,88.9,False,True,True
23,10315,100000.0,0.43,0.0,0.15,4,25.0,0.0,3,road_original,,23,10315,88.9,88.9,88.9,False,True,True
24,10316,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,24,10316,88.9,88.9,88.9,False,True,True
25,10317,100000.0,0.43,0.0,0.15,4,25.0,0.0,3,road_original,,25,10317,63.5,63.5,63.5,False,True,True
26,10318,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,26,10318,63.5,63.5,63.5,False,True,True
27,10319,100000.0,0.43,0.0,0.15,4,25.0,0.0,3,road_original,,27,10319,88.9,88.9,88.9,False,True,True
28,10320,100000.0,0.93,0.0,0.15,4,25.0,0.0,3,road_original,,28,10320,63.5,63.5,63.5,False,True,True
29,10321,100000.0,0.93,0.0,0.15,4,25.0,0.0,3,road_original,,29,10321,63.5,63.5,63.5,False,True,True
30,10322,100000.0,0.92,0.0,0.15,4,25.0,0.0,3,road_original,,30,10322,44.45,44.45,44.45,False,True,True
31,10323,100000.0,0.39,0.0,0.15,4,25.0,0.0,3,road_original,,31,10323,127.0,127.0,127.0,False,True,True
33,10325,100000.0,0.54,0.0,0.15,4,25.0,0.0,3,road_original,,33,10325,88.9,88.9,88.9,False,True,True
34,10326,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,34,10326,127.0,127.0,127.0,False,True,True
35,10327,100000.0,0.3,0.0,0.15,4,25.0,0.0,3,road_original,,35,10327,,127.0,127.0,False,True,True
36,10328,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,36,10328,127.0,127.0,127.0,False,True,True
37,10329,100000.0,0.42,0.0,0.15,4,25.0,0.0,3,road_original,,37,10329,88.9,88.9,88.9,False,True,True
38,10330,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,38,10330,127.0,127.0,127.0,False,True,True
39,10331,100000.0,0.48,0.0,0.15,4,25.0,0.0,3,road_original,,39,10331,127.0,127.0,127.0,False,True,True
40,10332,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,40,10332,127.0,127.0,127.0,False,True,True
41,10333,100000.0,0.55,0.0,0.15,4,25.0,0.0,3,road_original,,41,10333,88.9,88.9,88.9,False,True,True
42,10334,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,42,10334,127.0,127.0,127.0,False,True,True
43,10335,100000.0,0.5,0.0,0.15,4,25.0,0.0,3,road_original,,43,10335,127.0,127.0,127.0,False,True,True
44,10336,100000.0,0.41,0.0,0.15,4,25.0,0.0,3,road_original,,44,10336,127.0,127.0,127.0,False,True,True
