node,x,y,zipcode,level2,dcfc,rainfall_class_in,rainfall_estimate_in,rainfall_estimate_mm,node_type,charging_group,retain_in_flood_network,flood_affected_node
1,712475.0,1855780.0,60649,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
2,713275.0,1850580.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
3,715275.0,1847980.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
4,713675.0,1844580.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
5,717675.0,1842680.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
6,713775.0,1839180.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
7,717975.0,1838980.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
8,716775.0,1831380.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
9,718175.0,1835380.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
10,716875.0,1827080.0,60617,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
11,721075.0,1831480.0,46394,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
12,711675.0,1819480.0,60633,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
13,717075.0,1821580.0,60633,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
14,714175.0,1816880.0,60633,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
15,717075.0,1816880.0,60633,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
16,717175.0,1813880.0,46327,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
17,720686.0,1809584.0,46327,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
18,715075.0,1806180.0,60409,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
19,719975.0,1805580.0,60409,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
20,715675.0,1800480.0,60409,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
21,719975.0,1798480.0,60409,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
22,717375.0,1797780.0,60409,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
23,719975.0,1796780.0,60409,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
24,717475.0,1790380.0,60438,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
25,720175.0,1790380.0,46324,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
26,712175.0,1785080.0,60438,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
27,720175.0,1784880.0,60438,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
28,717475.0,1777080.0,60438,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
29,717675.0,1766680.0,60411,0,0,2.0-3.0,2.5,63.5,road_node,,True,True
30,717875.0,1759980.0,46311,0,0,1.5-2.0,1.75,44.45,road_node,,True,True
31,677075.0,1964780.0,60201,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
33,675775.0,1955880.0,60202,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
34,678575.0,1950480.0,60626,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
35,681311.0,1950840.0,60626,0,0,,,,road_node,,True,False
36,677575.0,1945280.0,60626,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
37,682775.0,1945480.0,60626,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
38,675075.0,1939880.0,60659,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
39,683075.0,1938080.0,60660,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
40,677975.0,1934580.0,60640,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
41,680875.0,1934680.0,60640,0,0,3.0-4.0,3.5,88.9,road_node,,True,True
42,678075.0,1929280.0,60640,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
43,684775.0,1929480.0,60640,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
44,686075.0,1929480.0,60640,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
45,679575.0,1923980.0,60613,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
46,684175.0,1924080.0,60613,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
47,686675.0,1924280.0,60613,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
48,678375.0,1918680.0,60657,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
49,683675.0,1918780.0,60657,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
50,689575.0,1918380.0,60614,0,0,6.0-8.0,7.0,177.8,road_node,,True,True
51,678575.0,1913380.0,60614,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
52,685275.0,1911880.0,60614,0,0,6.0-8.0,7.0,177.8,road_node,,True,True
53,689775.0,1913180.0,60614,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
54,686803.0,1905336.0,60654,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
55,688174.0,1905393.0,60654,0,0,4.0-6.0,5.0,127.0,road_node,,True,True
