soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1004,902,1.376936185,5,0,0,path_count_below_K;high_demand
0.1,1022,1013,1.3955909475,5,0,0,path_count_below_K;high_demand
0.1,1022,1029,1.2879702975,5,0,0,path_count_below_K;high_demand
0.1,1022,1059,1.9356608425,5,0,0,path_count_below_K;high_demand
0.1,1022,1564,1.7624994775,5,0,0,path_count_below_K;high_demand
0.1,1022,1569,1.62402705,5,0,0,path_count_below_K;high_demand
0.1,104,52,1.0316480525,5,0,0,path_count_below_K
0.1,1059,1022,1.0781158625,5,0,0,path_count_below_K
0.1,1059,1071,2.256484925,5,0,0,path_count_below_K;high_demand
0.1,1071,1013,1.161896295,5,0,0,path_count_below_K
0.1,1071,1029,1.6470875575,5,0,0,path_count_below_K;high_demand
0.1,1071,1059,2.785935815,5,0,0,path_count_below_K;high_demand
0.1,1071,1328,2.012463055,5,0,0,path_count_below_K;high_demand
0.1,1071,1338,3.0454614775,5,0,0,path_count_below_K;high_demand
0.1,1071,1564,3.647193135,5,0,0,path_count_below_K;high_demand
0.1,1071,1569,2.4775589775,5,0,0,path_count_below_K;high_demand
0.1,1071,1571,1.7225693125,5,0,0,path_count_below_K;high_demand
0.1,1071,1577,1.78807081,5,0,0,path_count_below_K;high_demand
0.1,1071,1585,1.773357335,5,0,0,path_count_below_K;high_demand
0.1,1071,1632,1.327636265,5,0,0,path_count_below_K;high_overlap;high_demand
0.1,1071,1633,2.4016242875,5,0,0,path_count_below_K;high_demand
0.1,1134,1142,1.4706574025,5,0,0,path_count_below_K;high_demand
0.1,1134,1521,1.2838428825,5,1,0,path_count_below_K;low_station_diversity
0.1,1134,172,0.6005645675,5,1,0,path_count_below_K;low_station_diversity
0.1,1134,379,0.065751925,5,1,0,path_count_below_K;low_station_diversity
0.1,1134,409,0.00963844,5,1,0,path_count_below_K;low_station_diversity
0.1,1134,410,0.0116504125,5,1,0,path_count_below_K;low_station_diversity
0.1,1134,528,1.4152926625,5,0,0,path_count_below_K;high_demand
0.1,1134,623,0.009188715,5,1,0,path_count_below_K;low_station_diversity
0.1,1134,630,0.01194583,5,1,0,path_count_below_K;low_station_diversity
0.1,1134,642,0.0826650025,5,1,0,path_count_below_K;low_station_diversity
0.1,1134,643,0.017914045,5,1,0,path_count_below_K;low_station_diversity
0.1,1134,654,0.0216994225,5,1,0,path_count_below_K;low_station_diversity
0.1,1134,656,0.0252342925,5,1,0,path_count_below_K;low_station_diversity
