link_id,from_node,to_node,type,length_miles,capacity_dry_vehph,capacity_flood_vehph,t0_dry_min,t0_flood_min,is_closed,station_id,source_init_node_label,source_term_node_label,source_edge_type,source_flood_depth_mm,source_flood_affected,source_retain_in_flood_network,source_capacity,source_capacity_raw_vehph,inferred_lanes,capacity_per_lane_vehph,modeled_capacity_dry_vehph,source_length_miles,source_free_flow_time_file_min,source_free_flow_time_min,computed_free_flow_time_min,source_speed_mph,nominal_speed_kmh,flood_safe_speed_kmh,operational_speed_flood_kmh,flood_capacity_retention_ratio,computed_flood_free_flow_time_min,active_in_scenario,total_flow_veh_per_period,ev_flow_veh_per_period,non_ev_flow_veh_per_period,travel_time_min,total_vehicle_min,ev_vehicle_min,non_ev_vehicle_min
CRL000001,1,10293,road,0.45,9500.0,5357.999999999999,1.08,1.3908025580457453,0,,1,10293,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.45,0.0,1.08,1.08,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.3908025580457453,1,1330.78,0.0,1330.78,1.080000770123961,1437.2434248655647,0.0,1437.2434248655647
CRL000002,2,10294,road,0.5,9500.0,5357.999999999999,1.2,1.5453361756063835,0,,2,10294,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.5,0.0,1.2,1.2,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.5453361756063835,1,1218.7300000000002,0.0,1218.7300000000002,1.200000601898238,1462.47673355144,0.0,1462.47673355144
CRL000003,3,10295,road,0.39,9500.0,5357.999999999999,0.936,1.2053622169729792,0,,3,10295,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.39,0.0,0.936,0.936,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.2053622169729792,1,148.72,0.0,148.72,0.9360000001041036,139.20192001548227,0.0,139.20192001548227
CRL000004,4,10296,road,0.58,9500.0,5357.999999999999,1.392,1.7925899637034048,0,,4,10296,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.58,0.0,1.392,1.392,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.7925899637034048,1,1198.6498085899998,31.379808590000003,1167.2699999999998,1.3920006533115492,1668.5213166490432,43.680714058071366,1624.8406025909717
CRL000005,5,10297,road,0.5,9500.0,5357.999999999999,1.2,1.5453361756063835,0,,5,10297,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.5,0.0,1.2,1.2,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.5453361756063835,1,334.88999999999993,0.0,334.88999999999993,1.2000000034316405,401.868001149222,0.0,401.868001149222
CRL000006,6,10298,road,0.58,9500.0,5357.999999999999,1.392,1.7925899637034048,0,,6,10298,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.58,0.0,1.392,1.392,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.7925899637034048,1,694.3099999999998,0.0,694.3099999999998,1.3920000735469615,966.4795710643906,0.0,966.4795710643906
CRL000007,7,10299,road,0.45,9500.0,5357.999999999999,1.08,1.3908025580457453,0,,7,10299,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.45,0.0,1.08,1.08,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.3908025580457453,1,536.6700000000001,0.0,536.6700000000001,1.0800000203687723,579.6036109313092,0.0,579.6036109313092
CRL000008,8,10300,road,0.5,9500.0,5357.999999999999,1.2,1.5453361756063835,0,,8,10300,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.5,0.0,1.2,1.2,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.5453361756063835,1,151.16000000000003,0.0,151.16000000000003,1.200000000142443,181.3920000215317,0.0,181.3920000215317
CRL000009,9,10301,road,0.44,9500.0,5357.999999999999,1.056,1.3598958345336174,0,,9,10301,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.44,0.0,1.056,1.056,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.3598958345336174,1,647.52,0.0,647.52,1.056000042207389,683.7811473301285,0.0,683.7811473301285
CRL000010,10,10302,road,0.5,9500.0,5357.999999999999,1.2,1.5453361756063835,0,,10,10302,road_original,127.0,1,1,100000.0,100000.0,5,1900.0,9500.0,0.5,0.0,1.2,1.2,25.0,40.2336,31.242600000000003,31.242600000000003,0.564,1.5453361756063835,1,197.23,0.0,197.23,1.200000000412843,236.67600008142503,0.0,236.67600008142503
