soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1004,902,1.376936185,5,0,0,path_count_below_K;high_demand
0.1,1022,1013,1.3955909475,5,0,0,path_count_below_K;high_demand
0.1,1031,1528,0.011743825,5,1,0,path_count_below_K;low_station_diversity
0.1,1031,349,0.0578353125,5,1,0,path_count_below_K;low_station_diversity
0.1,1031,622,0.01642106,5,1,0,path_count_below_K;low_station_diversity
0.1,1031,643,0.0179785,5,1,0,path_count_below_K;low_station_diversity
0.1,1031,654,0.0138871,5,1,0,path_count_below_K;low_station_diversity
0.1,1031,656,0.03035864,5,1,0,path_count_below_K;low_station_diversity
0.1,1031,667,0.0377318375,5,1,0,path_count_below_K;low_station_diversity
0.1,1031,681,0.00853367,5,1,0,path_count_below_K;low_station_diversity
0.1,1031,699,0.00645522,5,1,0,path_count_below_K;low_station_diversity
0.1,1031,706,0.045244565,5,1,0,path_count_below_K;low_station_diversity
0.1,1031,711,0.0127334075,5,1,0,path_count_below_K;low_station_diversity
0.1,1071,1029,1.6470875575,5,0,0,path_count_below_K;high_demand
0.1,1071,1564,3.647193135,5,0,0,path_count_below_K;high_demand
0.1,1071,1571,1.7225693125,5,0,0,path_count_below_K;high_demand
0.1,1134,1142,1.4706574025,5,0,0,path_count_below_K;high_demand
0.1,1151,528,2.018167845,5,0,0,path_count_below_K;high_demand
0.1,1190,1252,1.31721389,5,0,0,path_count_below_K;high_demand
0.1,1190,726,2.3707883625,5,0,0,path_count_below_K;high_demand
0.1,1190,754,1.338421255,5,0,0,path_count_below_K;high_demand
0.1,1190,777,1.4287498325,5,0,0,path_count_below_K;high_demand
0.1,1224,1225,1.999273995,5,0,0,path_count_below_K;high_demand
0.1,1224,1528,0.0152263075,5,1,0,path_count_below_K;low_station_diversity
0.1,1224,643,0.0268207425,5,1,0,path_count_below_K;low_station_diversity
0.1,1224,654,0.02887838,5,1,0,path_count_below_K;low_station_diversity
0.1,1224,656,0.05198862,5,1,0,path_count_below_K;low_station_diversity
0.1,1224,667,0.040854285,5,1,0,path_count_below_K;low_station_diversity
0.1,1224,681,0.0186608525,5,1,0,path_count_below_K;low_station_diversity
0.1,1224,699,0.0082033725,5,1,0,path_count_below_K;low_station_diversity
0.1,1224,706,0.04252353,5,1,0,path_count_below_K;low_station_diversity
0.1,1224,711,0.04107681,5,1,0,path_count_below_K;low_station_diversity
0.1,1224,726,1.288000025,5,0,0,path_count_below_K;high_demand
0.1,1224,777,1.32162115,5,0,0,path_count_below_K;high_demand
